           X               Y                Z                A                C
          0.001           1.687            0.000            0.004            0.000
          0.051           1.678            0.000            0.004            0.051
          0.101           1.669            0.000            0.004            0.102
          0.151           1.660            0.000            0.004            0.153
          0.201           1.651            0.000            0.004            0.203
          0.251           1.643            0.000            0.004            0.254
          0.301           1.634            0.000            0.004            0.305
          0.351           1.626            0.000            0.004            0.356
          0.401           1.618            0.000            0.004            0.406
          0.451           1.611            0.000            0.005            0.457
          0.501           1.604            0.000            0.005            0.507
          0.551           1.598            0.000            0.006            0.558
          0.601           1.593            0.000            0.008            0.608
          0.651           1.587            0.000            0.009            0.659
          0.701           1.582            0.000            0.010            0.709
          0.752           1.577            0.000            0.011            0.759
          0.802           1.572            0.000            0.011            0.810
          0.852           1.566            0.000            0.011            0.860
          0.902           1.561            0.000            0.011            0.910
          0.952           1.557            0.000            0.011            0.960
          1.002           1.552            0.000            0.011            1.011
          1.052           1.549            0.000            0.012            1.061
          1.101           1.546            0.000            0.012            1.111
          1.151           1.543            0.000            0.013            1.161
          1.201           1.541            0.000            0.014            1.211
          1.251           1.539            0.000            0.015            1.261
          1.301           1.537            0.000            0.016            1.311
          1.352           1.535            0.000            0.017            1.361
          1.402           1.533            0.000            0.017            1.411
          1.452           1.531            0.000            0.018            1.461
          1.502           1.529            0.000            0.018            1.511
          1.552           1.528            0.000            0.019            1.561
          1.602           1.526            0.000            0.020            1.611
          1.652           1.525            0.000            0.021            1.661
          1.702           1.524            0.000            0.023            1.711
          1.752           1.523            0.000            0.024            1.761
          1.802           1.522            0.000            0.026            1.811
          1.852           1.522            0.000            0.029            1.861
          1.902           1.521            0.000            0.031            1.911
          1.952           1.520            0.000            0.033            1.961
          2.002           1.520            0.000            0.035            2.012
          2.052           1.519            0.000            0.036            2.062
          2.102           1.517            0.000            0.038            2.112
          2.152           1.516            0.000            0.039            2.162
          2.202           1.515            0.000            0.040            2.212
          2.252           1.514            0.000            0.042            2.262
          2.302           1.512            0.000            0.043            2.312
          2.353           1.511            0.000            0.045            2.362
          2.403           1.510            0.000            0.046            2.412
          2.453           1.509            0.000            0.048            2.462
          2.503           1.508            0.000            0.050            2.513
          2.553           1.507            0.000            0.051            2.563
          2.603           1.506            0.000            0.052            2.613
          2.653           1.504            0.000            0.053            2.663
          2.704           1.503            0.000            0.054            2.713
          2.754           1.501            0.000            0.055            2.764
          2.804           1.499            0.000            0.056            2.814
          2.854           1.497            0.000            0.057            2.864
          2.904           1.495            0.000            0.057            2.914
          2.954           1.493            0.000            0.058            2.964
          3.004           1.491            0.000            0.059            3.014
          3.054           1.489            0.000            0.059            3.064
          3.104           1.487            0.000            0.060            3.115
          3.155           1.485            0.000            0.061            3.165
          3.205           1.483            0.000            0.061            3.215
          3.255           1.481            0.000            0.062            3.265
          3.305           1.479            0.000            0.062            3.315
          3.355           1.477            0.000            0.063            3.366
          3.405           1.474            0.000            0.063            3.416
          3.456           1.472            0.000            0.063            3.466
          3.506           1.469            0.000            0.063            3.516
          3.556           1.467            0.000            0.063            3.566
          3.606           1.464            0.000            0.063            3.616
          3.656           1.462            0.000            0.063            3.666
          3.706           1.459            0.000            0.063            3.716
          3.756           1.457            0.000            0.063            3.767
          3.806           1.454            0.000            0.063            3.817
          3.856           1.451            0.000            0.063            3.867
          3.906           1.449            0.000            0.063            3.917
          3.956           1.446            0.000            0.063            3.967
          4.006           1.443            0.000            0.063            4.017
          4.056           1.441            0.000            0.063            4.067
          4.106           1.438            0.000            0.064            4.117
          4.156           1.436            0.000            0.064            4.167
          4.206           1.434            0.000            0.064            4.217
          4.256           1.432            0.000            0.064            4.267
          4.306           1.429            0.000            0.065            4.318
          4.356           1.427            0.000            0.065            4.368
          4.406           1.424            0.000            0.065            4.418
          4.456           1.422            0.000            0.065            4.468
          4.507           1.419            0.000            0.065            4.518
          4.557           1.416            0.000            0.065            4.568
          4.606           1.414            0.000            0.065            4.618
          4.656           1.411            0.000            0.065            4.668
          4.706           1.409            0.000            0.065            4.718
          4.756           1.406            0.000            0.065            4.768
          4.806           1.404            0.000            0.065            4.818
          4.856           1.402            0.000            0.065            4.868
          4.906           1.399            0.000            0.066            4.919
          4.956           1.397            0.000            0.066            4.969
          5.007           1.395            0.000            0.066            5.019
          5.057           1.392            0.000            0.066            5.069
          5.107           1.390            0.000            0.066            5.119
          5.157           1.387            0.000            0.066            5.170
          5.207           1.385            0.000            0.066            5.220
          5.257           1.382            0.000            0.066            5.270
          5.307           1.379            0.000            0.066            5.320
          5.357           1.377            0.000            0.066            5.370
          5.407           1.374            0.000            0.066            5.420
          5.457           1.372            0.000            0.066            5.470
          5.507           1.369            0.000            0.066            5.520
          5.557           1.367            0.000            0.067            5.570
          5.606           1.365            0.000            0.067            5.620
          5.657           1.363            0.000            0.068            5.670
          5.707           1.361            0.000            0.068            5.720
          5.757           1.359            0.000            0.069            5.770
          5.807           1.357            0.000            0.069            5.821
          5.858           1.354            0.000            0.069            5.871
          5.908           1.351            0.000            0.069            5.921
          5.958           1.349            0.000            0.068            5.972
          6.008           1.346            0.000            0.068            6.022
          6.058           1.343            0.000            0.067            6.072
          6.108           1.340            0.000            0.067            6.121
          6.158           1.337            0.000            0.067            6.171
          6.207           1.335            0.000            0.067            6.221
          6.257           1.333            0.000            0.067            6.271
          6.307           1.331            0.000            0.068            6.321
          6.357           1.329            0.000            0.068            6.371
          6.407           1.327            0.000            0.069            6.421
          6.457           1.325            0.000            0.069            6.471
          6.508           1.323            0.000            0.070            6.522
          6.558           1.320            0.000            0.070            6.572
          6.608           1.318            0.000            0.070            6.622
          6.658           1.315            0.000            0.070            6.673
          6.709           1.312            0.000            0.069            6.723
          6.759           1.309            0.000            0.069            6.773
          6.809           1.306            0.000            0.068            6.823
          6.858           1.303            0.000            0.068            6.873
          6.908           1.301            0.000            0.068            6.923
          6.958           1.298            0.000            0.067            6.973
          7.008           1.296            0.000            0.068            7.022
          7.057           1.294            0.000            0.068            7.072
          7.107           1.292            0.000            0.069            7.122
          7.157           1.291            0.000            0.070            7.172
          7.207           1.289            0.000            0.070            7.222
          7.258           1.287            0.000            0.071            7.273
          7.309           1.285            0.000            0.071            7.324
          7.359           1.282            0.000            0.071            7.374
          7.409           1.279            0.000            0.070            7.425
          7.459           1.276            0.000            0.070            7.475
          7.509           1.273            0.000            0.069            7.525
          7.559           1.270            0.000            0.069            7.574
          7.608           1.268            0.000            0.069            7.624
          7.658           1.265            0.000            0.069            7.674
          7.708           1.263            0.000            0.069            7.724
          7.758           1.261            0.000            0.069            7.774
          7.808           1.260            0.000            0.070            7.824
          7.858           1.258            0.000            0.071            7.874
          7.908           1.256            0.000            0.071            7.924
          7.958           1.254            0.000            0.072            7.974
          8.008           1.252            0.000            0.072            8.024
          8.059           1.250            0.000            0.073            8.075
          8.109           1.248            0.000            0.073            8.125
          8.160           1.245            0.000            0.072            8.176
          8.210           1.242            0.000            0.072            8.226
          8.260           1.240            0.000            0.072            8.276
          8.309           1.237            0.000            0.071            8.326
          8.359           1.235            0.000            0.071            8.375
          8.409           1.232            0.000            0.071            8.425
          8.459           1.230            0.000            0.072            8.475
          8.508           1.229            0.000            0.072            8.525
          8.558           1.227            0.000            0.073            8.575
          8.608           1.225            0.000            0.073            8.625
          8.658           1.224            0.000            0.074            8.675
          8.708           1.222            0.000            0.075            8.725
          8.758           1.221            0.000            0.076            8.775
          8.809           1.219            0.000            0.077            8.826
          8.860           1.217            0.000            0.077            8.876
          8.910           1.214            0.000            0.077            8.927
          8.961           1.211            0.000            0.076            8.977
          9.011           1.208            0.000            0.075            9.027
