           X               Y                Z                A                C
          0.023           1.615            0.000            0.134            0.000
          0.073           1.606            0.000            0.133            0.050
          0.123           1.597            0.000            0.132            0.101
          0.172           1.589            0.000            0.130            0.151
          0.222           1.580            0.000            0.129            0.201
          0.271           1.572            0.000            0.127            0.251
          0.320           1.564            0.000            0.125            0.301
          0.369           1.556            0.000            0.124            0.351
          0.419           1.549            0.000            0.122            0.401
          0.468           1.541            0.000            0.120            0.451
          0.517           1.534            0.000            0.118            0.501
          0.567           1.527            0.000            0.116            0.551
          0.616           1.520            0.000            0.114            0.601
          0.666           1.513            0.000            0.111            0.651
          0.715           1.506            0.000            0.109            0.700
          0.765           1.499            0.000            0.106            0.750
          0.814           1.492            0.000            0.102            0.800
          0.864           1.486            0.000            0.099            0.850
          0.913           1.479            0.000            0.096            0.900
          0.962           1.473            0.000            0.092            0.950
          1.011           1.467            0.000            0.088            0.999
          1.061           1.461            0.000            0.084            1.049
          1.110           1.455            0.000            0.081            1.098
          1.159           1.449            0.000            0.077            1.148
          1.209           1.444            0.000            0.074            1.198
          1.258           1.438            0.000            0.071            1.247
          1.308           1.433            0.000            0.068            1.297
          1.357           1.428            0.000            0.065            1.347
          1.407           1.424            0.000            0.062            1.397
          1.456           1.419            0.000            0.060            1.447
          1.506           1.415            0.000            0.058            1.497
          1.556           1.410            0.000            0.056            1.546
          1.605           1.406            0.000            0.054            1.596
          1.655           1.402            0.000            0.053            1.646
          1.705           1.399            0.000            0.051            1.696
          1.754           1.396            0.000            0.050            1.746
          1.804           1.392            0.000            0.049            1.795
          1.854           1.390            0.000            0.049            1.845
          1.904           1.387            0.000            0.048            1.895
          1.953           1.385            0.000            0.048            1.945
          2.003           1.383            0.000            0.048            1.995
          2.053           1.381            0.000            0.049            2.045
          2.103           1.379            0.000            0.049            2.095
          2.153           1.377            0.000            0.050            2.145
          2.203           1.376            0.000            0.051            2.194
          2.253           1.375            0.000            0.051            2.244
          2.302           1.374            0.000            0.053            2.294
          2.352           1.373            0.000            0.054            2.344
          2.402           1.372            0.000            0.055            2.394
          2.452           1.371            0.000            0.057            2.444
          2.502           1.371            0.000            0.059            2.494
          2.552           1.371            0.000            0.061            2.543
          2.601           1.371            0.000            0.063            2.593
          2.651           1.371            0.000            0.065            2.643
          2.701           1.371            0.000            0.068            2.693
          2.751           1.372            0.000            0.070            2.743
          2.801           1.372            0.000            0.073            2.793
          2.851           1.373            0.000            0.076            2.842
          2.901           1.374            0.000            0.079            2.892
          2.951           1.374            0.000            0.081            2.942
          3.001           1.375            0.000            0.084            2.992
          3.051           1.376            0.000            0.087            3.042
          3.100           1.377            0.000            0.090            3.092
          3.150           1.378            0.000            0.093            3.142
          3.200           1.378            0.000            0.096            3.192
          3.250           1.379            0.000            0.099            3.242
          3.300           1.380            0.000            0.102            3.292
          3.350           1.381            0.000            0.105            3.342
          3.400           1.382            0.000            0.108            3.392
          3.450           1.383            0.000            0.111            3.442
          3.500           1.383            0.000            0.114            3.492
          3.550           1.384            0.000            0.117            3.542
          3.600           1.385            0.000            0.119            3.592
          3.650           1.386            0.000            0.122            3.642
          3.701           1.387            0.000            0.125            3.692
          3.751           1.387            0.000            0.128            3.743
          3.801           1.388            0.000            0.130            3.793
          3.852           1.388            0.000            0.133            3.843
          3.902           1.388            0.000            0.135            3.894
          3.952           1.389            0.000            0.137            3.944
          4.002           1.389            0.000            0.139            3.994
          4.053           1.389            0.000            0.141            4.044
          4.103           1.389            0.000            0.143            4.094
          4.153           1.389            0.000            0.145            4.144
          4.202           1.389            0.000            0.147            4.194
          4.252           1.389            0.000            0.150            4.244
          4.302           1.389            0.000            0.152            4.294
          4.352           1.389            0.000            0.154            4.344
          4.402           1.389            0.000            0.156            4.394
          4.452           1.389            0.000            0.158            4.444
          4.502           1.389            0.000            0.160            4.494
          4.553           1.389            0.000            0.162            4.545
          4.603           1.389            0.000            0.164            4.595
          4.653           1.389            0.000            0.166            4.645
          4.704           1.389            0.000            0.168            4.696
          4.754           1.388            0.000            0.169            4.746
          4.804           1.388            0.000            0.171            4.796
          4.855           1.388            0.000            0.172            4.847
          4.905           1.387            0.000            0.174            4.897
          4.955           1.386            0.000            0.175            4.947
          5.005           1.386            0.000            0.177            4.997
          5.055           1.385            0.000            0.178            5.047
          5.105           1.385            0.000            0.179            5.097
          5.155           1.384            0.000            0.181            5.147
          5.205           1.384            0.000            0.182            5.197
          5.255           1.383            0.000            0.184            5.246
          5.305           1.383            0.000            0.185            5.296
          5.355           1.382            0.000            0.187            5.347
          5.405           1.382            0.000            0.188            5.397
          5.455           1.382            0.000            0.190            5.447
          5.506           1.381            0.000            0.191            5.498
          5.556           1.380            0.000            0.192            5.548
          5.607           1.379            0.000            0.193            5.599
          5.657           1.378            0.000            0.194            5.649
          5.707           1.377            0.000            0.195            5.699
