           X               Y                Z                A                C
          1.049           0.574            0.000            0.074            1.090
          1.100           0.574            0.000            0.074            1.141
          1.150           0.575            0.000            0.075            1.191
          1.200           0.576            0.000            0.075            1.241
          1.250           0.576            0.000            0.076            1.290
          1.299           0.577            0.000            0.077            1.340
          1.349           0.578            0.000            0.078            1.390
          1.399           0.580            0.000            0.079            1.440
          1.449           0.581            0.000            0.081            1.490
          1.500           0.582            0.000            0.082            1.541
          1.550           0.582            0.000            0.082            1.591
          1.600           0.583            0.000            0.083            1.641
          1.650           0.584            0.000            0.083            1.691
          1.700           0.584            0.000            0.084            1.741
          1.750           0.585            0.000            0.084            1.791
          1.800           0.585            0.000            0.085            1.841
          1.851           0.585            0.000            0.085            1.892
          1.901           0.586            0.000            0.086            1.942
          1.950           0.586            0.000            0.086            1.991
          2.000           0.586            0.000            0.086            2.041
          2.050           0.587            0.000            0.087            2.091
          2.100           0.588            0.000            0.088            2.141
          2.150           0.589            0.000            0.089            2.191
          2.200           0.590            0.000            0.090            2.241
          2.250           0.590            0.000            0.090            2.291
          2.301           0.591            0.000            0.091            2.342
          2.351           0.591            0.000            0.091            2.392
          2.400           0.592            0.000            0.092            2.441
          2.450           0.593            0.000            0.092            2.491
          2.499           0.594            0.000            0.094            2.540
          2.548           0.595            0.000            0.095            2.589
          2.598           0.597            0.000            0.097            2.640
          2.649           0.598            0.000            0.098            2.690
          2.700           0.599            0.000            0.099            2.741
          2.751           0.600            0.000            0.100            2.792
          2.801           0.600            0.000            0.100            2.843
          2.851           0.600            0.000            0.100            2.893
          2.901           0.600            0.000            0.100            2.942
          2.951           0.601            0.000            0.101            2.992
          3.000           0.601            0.000            0.101            3.042
          3.050           0.602            0.000            0.102            3.091
          3.100           0.603            0.000            0.103            3.141
          3.150           0.604            0.000            0.104            3.191
          3.199           0.605            0.000            0.105            3.241
          3.249           0.606            0.000            0.106            3.291
          3.300           0.607            0.000            0.107            3.341
          3.350           0.608            0.000            0.108            3.391
          3.400           0.609            0.000            0.109            3.441
          3.450           0.610            0.000            0.110            3.492
          3.501           0.611            0.000            0.111            3.542
          3.551           0.612            0.000            0.111            3.592
          3.601           0.612            0.000            0.112            3.642
