           X               Y                Z                A                C
          1.047           0.613            0.000            0.061            1.192
          1.095           0.617            0.000            0.064            1.241
          1.146           0.621            0.000            0.068            1.292
          1.197           0.625            0.000            0.071            1.343
          1.247           0.628            0.000            0.074            1.393
          1.297           0.631            0.000            0.076            1.444
          1.348           0.633            0.000            0.078            1.494
          1.397           0.635            0.000            0.080            1.544
          1.447           0.638            0.000            0.082            1.593
          1.496           0.641            0.000            0.084            1.643
          1.546           0.644            0.000            0.087            1.692
          1.595           0.647            0.000            0.090            1.742
          1.645           0.651            0.000            0.093            1.792
          1.695           0.654            0.000            0.097            1.842
          1.746           0.658            0.000            0.099            1.893
          1.796           0.660            0.000            0.102            1.943
          1.847           0.663            0.000            0.104            1.994
          1.897           0.665            0.000            0.106            2.044
          1.947           0.667            0.000            0.108            2.095
          1.998           0.669            0.000            0.109            2.145
          2.048           0.671            0.000            0.111            2.195
          2.098           0.673            0.000            0.112            2.246
          2.148           0.675            0.000            0.114            2.296
          2.198           0.676            0.000            0.115            2.346
          2.248           0.678            0.000            0.117            2.395
          2.297           0.680            0.000            0.118            2.445
          2.347           0.682            0.000            0.120            2.494
          2.396           0.684            0.000            0.122            2.544
          2.446           0.687            0.000            0.125            2.594
          2.496           0.689            0.000            0.127            2.643
          2.545           0.692            0.000            0.129            2.693
          2.596           0.694            0.000            0.132            2.743
          2.646           0.697            0.000            0.134            2.794
          2.697           0.699            0.000            0.136            2.845
          2.747           0.701            0.000            0.138            2.896
          2.798           0.703            0.000            0.140            2.946
          2.848           0.705            0.000            0.141            2.996
          2.897           0.706            0.000            0.143            3.045
          2.947           0.708            0.000            0.145            3.095
          2.997           0.710            0.000            0.146            3.145
          3.048           0.712            0.000            0.148            3.197
          3.100           0.713            0.000            0.149            3.248
          3.152           0.714            0.000            0.150            3.300
          3.202           0.714            0.000            0.150            3.351
          3.252           0.714            0.000            0.150            3.400
          3.301           0.715            0.000            0.150            3.449
          3.349           0.716            0.000            0.151            3.498
          3.398           0.717            0.000            0.152            3.547
          3.447           0.719            0.000            0.154            3.596
          3.497           0.721            0.000            0.156            3.646
          3.547           0.723            0.000            0.158            3.696
          3.597           0.724            0.000            0.159            3.746
          3.647           0.726            0.000            0.161            3.796
          3.698           0.728            0.000            0.163            3.846
          3.749           0.730            0.000            0.164            3.897
          3.800           0.731            0.000            0.165            3.949
          3.853           0.731            0.000            0.166            4.001
          3.906           0.731            0.000            0.165            4.054
          3.957           0.730            0.000            0.164            4.105
          4.005           0.730            0.000            0.163            4.154
          4.053           0.730            0.000            0.163            4.201
          4.099           0.730            0.000            0.164            4.248
          4.146           0.732            0.000            0.166            4.295
          4.193           0.735            0.000            0.168            4.341
          4.240           0.738            0.000            0.171            4.389
          4.292           0.742            0.000            0.175            4.441
          4.350           0.745            0.000            0.178            4.499
          4.406           0.745            0.000            0.178            4.555
          4.460           0.744            0.000            0.177            4.609
          4.509           0.742            0.000            0.175            4.658
          4.558           0.741            0.000            0.174            4.707
          4.607           0.740            0.000            0.173            4.756
          4.655           0.740            0.000            0.172            4.805
          4.704           0.739            0.000            0.172            4.854
          4.754           0.739            0.000            0.172            4.903
          4.803           0.740            0.000            0.172            4.952
          4.852           0.740            0.000            0.173            5.001
          4.901           0.741            0.000            0.174            5.051
          4.951           0.742            0.000            0.175            5.100
          5.001           0.743            0.000            0.176            5.150
