,CR02,CR03,CR05,CR07,CR08,CR10,CR16,CR21,CR26,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR80,CR84,CR88,CR90,CR92,CR94,CR95
R4.0,0.8766935641220363,0.9349494132476021,1.074924942872444,1.138306400707744,1.2067021568810272,1.2597938594742044,1.388050132618106,1.4830565076876359,1.576944797390381,1.6406710844203767,1.6767240213478276,1.6890072322624912,1.67199519527074,1.6309625010031894,1.5780548502270375,1.5184528010177873,1.4627223338230837,1.405128704670036,1.3550843528731904,1.3076212756996728,1.266920088817266,1.2205174706724562,1.1873850060769602,1.1464322696746696,1.1288481286063892,1.1117096185111097,1.1156121705575925
R5.0,0.8587284940621512,0.8999650260531958,1.0252043822297476,1.0698998856473436,1.1285379915238571,1.1905763686121138,1.3118969165862484,1.4090616884466263,1.5042822040490444,1.57527271521136,1.614956773760085,1.6303490505746685,1.6148132876534638,1.5789736461959927,1.5316874687093636,1.4766707669348247,1.422548765694764,1.3638330982674407,1.3115666602497849,1.2637032396770713,1.2237264599181905,1.1788434402602803,1.1490137470478816,1.109027915922031,1.092394733014151,1.0775419809606235,1.0818194362880766
R6.0,0.8335566194863947,0.8658994376089099,0.9776977917346612,1.0148280136558654,1.062727020580121,1.1193682981100894,1.2353533017393272,1.3329360595500204,1.4308075691849442,1.5091976589879728,1.5541456083483927,1.5729826386238968,1.5613535683084985,1.529892282236305,1.486683201070283,1.4342255055628819,1.3801793568605827,1.3227774753049626,1.2701360417780194,1.2217606659268696,1.182107284152535,1.1387497349741276,1.1101410512945082,1.070507149340747,1.0557098151099529,1.0429142280164343,1.0488015620765472
R7.0,0.8040064221172464,0.8282164587187418,0.9254327263855121,0.9534918357012284,0.9938909220727866,1.0467693904252928,1.1594832347065018,1.2589680340984417,1.3598338704376105,1.443487872012168,1.4918172416264284,1.5146270417416767,1.5076360620377398,1.4806679676425099,1.4418627263979957,1.392549326551655,1.3391749763566032,1.2815585812492838,1.2288763551256827,1.1794043816141047,1.1409107749737866,1.1006614327531232,1.0738371809234577,1.0342886193361638,1.0203819858212333,1.008461380963279,1.0155065313568894
R8.0,0.7720832438158471,0.7869117292369883,0.871818186344209,0.8932827533850113,0.9278949904139491,0.9756871446579491,1.0834904862878925,1.1854659231571647,1.289114194201022,1.3776933708305572,1.430677747305948,1.456834721332925,1.4535625517136497,1.431895236143725,1.3965478837886838,1.3500253762061536,1.2991391394746252,1.2410602903594736,1.1872728591861428,1.1388683689142574,1.101101402035605,1.062740052768684,1.037016938808924,0.9991120426098062,0.9871189636408695,0.9755227622185704,0.9827167410648732
R9.0,0.7394685996748528,0.7474012747206794,0.8194931125402098,0.8347865826791575,0.8626423221582913,0.9067058697429379,1.0101043756410295,1.1124846264906336,1.2185784066959053,1.314083389310917,1.3705294454307873,1.4013852235848705,1.4013388874867228,1.383539269272427,1.3529423464739052,1.3082044653039815,1.25915992291813,1.20206959967236,1.1469829722051266,1.098367505164253,1.0628187322729565,1.0271347326892375,1.0028872894244094,0.9647197945264541,0.9537671190564436,0.943961507019465,0.9506966509219222
R10.0,0.7072001680879041,0.7080410170108363,0.7701113234595557,0.7796435352522665,0.8027462245092338,0.841291647450506,0.9408950347650459,1.042246943163185,1.1504026552921867,1.2502310343002956,1.3117071705707497,1.3467076982066695,1.3497480728098656,1.3348471157383353,1.307817275959989,1.2666835192234855,1.2192884319303743,1.1623387377497283,1.108365227419075,1.0600455028498752,1.0243055370801233,0.9905004640269475,0.9677372994001731,0.9317893770014164,0.9214329061568812,0.9124063117008645,0.9191464761532514
R11.0,0.6755063307878733,0.6715635799627314,0.7228379561146204,0.7278648645628889,0.7459414387385856,0.7805152421843967,0.8744567192313512,0.9746847221563297,1.0846382822407554,1.1879228752609938,1.2537033692312476,1.2916074334941292,1.2997146738349536,1.2884582897933772,1.264257132270661,1.2259265168577582,1.1793350247738414,1.123503127542926,1.0703542418898901,1.0216508931664996,0.9877217416600086,0.956188218448185,0.9345176617938742,0.899037317235349,0.8901160550865131,0.8821842657784466,0.8882882608800657
R12.0,0.6451337518115074,0.6377056254260408,0.6803256355403138,0.6818002755807369,0.6953714273843452,0.7259084122703039,0.8121651733696508,0.9108644242491725,1.021621316321433,1.1272696335473702,1.1972010646783886,1.2387699006737638,1.2507019401788269,1.242012710356954,1.2208994288156323,1.185450235674033,1.1405078946583567,1.0846268183174985,1.033034135769543,0.9856793086572112,0.9524277811861671,0.9216606634308689,0.9008708662211431,0.8671509468751117,0.860612057899322,0.8526688874322016,0.8586457031215856
R13.0,0.6177457200752792,0.6067999018352798,0.6416470777940465,0.6406580786933564,0.6498068051296503,0.6775640642168106,0.7573023665227062,0.8522903936559713,0.961147506884762,1.069703757713475,1.141224906994214,1.1868310964983124,1.2018527854676448,1.1978168372496365,1.1794399340381965,1.1450254259232884,1.1022506639901823,1.0493600965289602,0.9972755489827339,0.9498067538651844,0.9175285162895057,0.8891727936797528,0.869181650091237,0.8365425295444653,0.8310607195160546,0.8245102922205916,0.8292654769656418
