,CR02,CR03,CR05,CR07,CR08,CR10,CR16,CR21,CR26,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR80,CR84,CR88,CR90,CR92,CR94,CR95
R4.0,0.8365672998484469,0.9138069964768071,1.0245284123811451,1.0791934694184824,1.1754615523005123,1.2745903870244308,1.4868918587919988,1.6682394132167488,1.8035562792880162,1.8566317947761535,1.8674382180808282,1.868562593509027,1.8150550741531237,1.7442729268923045,1.646450917910347,1.5474534191141691,1.4711833350042802,1.415287692223385,1.3764539840861243,1.346371757118906,1.3080806503718783,1.2648945007341081,1.2226384158022958,1.1920865243399852,1.1728174795211983,1.1457482055616153,1.138500803569365
R5.0,0.8260488355449089,0.8844966217424504,0.984499233764238,1.0271294371213402,1.1167014845346699,1.225912512686203,1.4420008704420446,1.6319877843221051,1.777938396885798,1.8330482575667786,1.8427720121899178,1.840232491244316,1.7806562687562575,1.7047009043560297,1.6016931694987298,1.501482427582127,1.4260883705984377,1.3764545811752675,1.3420357743629217,1.3164594096223206,1.2783486609202737,1.2341464109747746,1.1918266651432359,1.1608128207431188,1.1404106935173002,1.11579518081607,1.1094884618021867
R6.0,0.8093604109865068,0.8573110718463003,0.9490181024486128,0.9848127482621821,1.0707581248602116,1.176753978152299,1.396117919617907,1.5946563269348644,1.748888566514559,1.8080741197170558,1.8162922146441165,1.8130650780592688,1.7486022310154563,1.6670162803042068,1.5598545646354456,1.457679813558185,1.384622771419086,1.3380011204865825,1.3082412287475749,1.287410992364248,1.2508241522236911,1.2046461222027818,1.1620845694863158,1.1294248584513407,1.109389251526276,1.0863188273700484,1.0803422065127823
R7.0,0.7882954197775336,0.828417635583716,0.9126224245176999,0.9427769794019782,1.0248773376657445,1.1298033282945814,1.350133012556256,1.5553262358233704,1.7168346063111806,1.7805504902348428,1.7887620407283336,1.7847053518605185,1.7162761272160025,1.630977347737394,1.5183223735763303,1.4162047201759138,1.3427519859589931,1.3011891020241335,1.2763593968580977,1.2581482881940536,1.2226154822128437,1.1760654021549393,1.1330943858012574,1.1001434178849199,1.0782709861396946,1.0577078329049365,1.0526216635142442
R8.0,0.7648653871095926,0.7993050101399498,0.8754123330730128,0.9016483641860084,0.9800968222817968,1.0819342101322313,1.303944638415347,1.5143152613988038,1.683621031744597,1.7517710759875167,1.759854541939801,1.7559823062282163,1.6834800651357984,1.5948053780854803,1.4796701756570945,1.3752750234900708,1.3032265305970396,1.266726022455866,1.2453684174853155,1.230330990904541,1.1949961837065621,1.1477095559063275,1.1050985668266209,1.0711868007924976,1.049646464435847,1.0292643267878794,1.0256079205387127
R9.0,0.7409464670520665,0.7713495217569654,0.8392130328091293,0.8624798847553548,0.9371908854261157,1.0355479326798873,1.2578913629407018,1.47176883130478,1.6488603766908998,1.7190854808337181,1.7302522476126687,1.727616315701028,1.6514132312268868,1.558788279907013,1.4397418821468901,1.3357121710597297,1.265694457276659,1.232993314131947,1.2149852991272474,1.2021086363330342,1.1690026518499679,1.1208931108035822,1.0767067490068152,1.0432822826356496,1.0202186680928513,1.0016052241227402,0.99891756465384
R10.0,0.7174642701225508,0.7423648893624013,0.8064005465897931,0.8253491072680855,0.8965110650142034,0.9918761928938314,1.2129564854364068,1.4292520763856964,1.6122148845977533,1.68760254249704,1.6997411417032529,1.6975232575677888,1.619784373139573,1.524197691320305,1.4016460396449872,1.297438566962197,1.229616602044856,1.2000104864070686,1.185077708789312,1.1749729236216575,1.1426193141880108,1.093980116872164,1.051242891171673,1.0166164757226261,0.9928311275158709,0.9757399518317429,0.9728898660139366
R11.0,0.6930442504222379,0.7152861893734236,0.7742862927473586,0.7891024823853245,0.8568771254494265,0.9496751025597963,1.1681198509275272,1.3861741180035332,1.57427407993559,1.653363166602379,1.6685732613421085,1.668289351078509,1.5881776582205975,1.4890779708217075,1.3652288832790884,1.2602224586727566,1.1940323480655433,1.1681917378237898,1.1556956227494681,1.1473601178926154,1.1176271819731467,1.0686259728781744,1.025837796950325,0.989336952078721,0.9660230598949917,0.9491706576806411,0.9469975797529772
R12.0,0.6694483628578722,0.6896568882292394,0.7433019583256084,0.7547798327820615,0.8193128575054069,0.9096086091684477,1.1238629098670745,1.342216580339272,1.5359509817258064,1.6184745354657557,1.6367557383354732,1.6388700383140942,1.5572081655310566,1.4554850086317097,1.3289058612340767,1.2248318123017712,1.16055030417731,1.1387049057466347,1.1279514158665318,1.1217796106396416,1.0926499760626478,1.0425618598423128,1.0001382308925002,0.9645728523719661,0.9395269856720155,0.9240844326942678,0.9222779325811609
R13.0,0.6470557433585865,0.6658607460856996,0.714944070621751,0.7242778164885043,0.7843042122057075,0.8716173576510872,1.0803607857559987,1.2997666163112598,1.4968881248979458,1.5837132644389067,1.6052656108098833,1.6092012272701504,1.5257315744017645,1.4234793339572174,1.295479554773218,1.1905349569020003,1.1283371250922445,1.1093184236688827,1.0999391369370082,1.0969461012767232,1.0683373356427648,1.0170008647868727,0.976180469373202,0.9386131424325598,0.9128102164740961,0.9004704392410421,0.8986933228002336
R14.0,0.6251262154880503,0.6429788997585016,0.6881310634576725,0.694824922297394,0.7514514015624935,0.83554625262842,1.038504010290365,1.2579948140265587,1.4586220561006893,1.5480924123467832,1.573575424691072,1.5793756898766271,1.4951533452013495,1.3903886081015657,1.2611021152299169,1.1571986178473797,1.0982319228056057,1.0815031475421029,1.07433800946081,1.070091180954641,1.0439445549289315,0.9938250111289513,0.9532904096803065,0.9151235224721788,0.8895904491146277,0.8765121922996424,0.874725793031165
R15.0,0.605769962187709,0.621845552905609,0.6632530273948043,0.6672584706464477,0.7208155395458948,0.8007523944898545,0.9980979078914617,1.21577713566064,1.4198805383307986,1.513471750166097,1.540556366757871,1.549806580107484,1.4633711859307383,1.3589497625006357,1.2296217491794903,1.1263982270853015,1.0694889830632577,1.0546799962984414,1.0493716661821064,1.0458910666335828,1.0207479357649394,0.970596760140779,0.9296196632797219,0.8914376192403989,0.8656212521399926,0.8533282565345038,0.8519892670344922
R16.0,0.586796120772919,0.6033483108064315,0.6407912664561713,0.6422026773054162,0.6924165548687008,0.7682546902181678,0.9574265387426457,1.1743880739423656,1.3816688106797552,1.47823673487708,1.5082538764797992,1.5194444748112104,1.4333381380319832,1.327610825624955,1.1982675204036273,1.0957694826217483,1.04170791135742,1.0285768224531144,1.024818019630326,1.0226580305585522,0.9973284622162647,0.9477027681817182,0.9079729523021965,0.8694107347935953,0.8435561325692872,0.8311473526418205,0.8309227374100264
R17.0,0.5705388667886004,0.586465489809042,0.6209882328027081,0.6194955568406206,0.6665468069168626,0.738006963907623,0.9198940670026682,1.1337438942333322,1.3433469247275163,1.442725922818057,1.4763574191154063,1.4891310957927264,1.4033472915806084,1.2985310445480949,1.1672808087325848,1.0668365326213396,1.0145462965256533,1.0036826636195162,1.0017856759428176,0.9988896123644461,0.9742943064881092,0.9256225938339564,0.8871588942095898,0.8477743082555954,0.8217590087110181,0.8108002683256239,0.8094585970859229
R18.0,0.5550887005428964,0.5723646893485187,0.6016817035901053,0.5989523754972286,0.6431615689513678,0.7106583315275415,0.8829179313367669,1.0942563071899363,1.3059094887101077,1.4084929598903064,1.4447845246427522,1.4599700812178282,1.3728107627018493,1.2691383290903018,1.1391374537913022,1.0390155393533302,0.9882521492237839,0.9789896297560126,0.9785904557938911,0.9762936377120296,0.9515080810985259,0.9043266095088298,0.8667858108930029,0.8278228551051375,0.8002531326742592,0.7909392224002093,0.7884638741737401
R19.0,0.54150962919973,0.559516295133192,0.5851107322192591,0.5815593737290266,0.6211687067571646,0.6844579950498905,0.846894269914541,1.0555125565728545,1.269417438500486,1.3747719297065752,1.4133299285574017,1.4311940584884848,1.3432025696305154,1.2398194263006803,1.1114791612788026,1.0128596894313204,0.9650310382372352,0.955859081062701,0.9562734970873749,0.9547117949961158,0.9294568540493433,0.8834396244504081,0.8477670830127746,0.8079040380994922,0.7804958089442405,0.771223818475468,0.7686561810062796
R20.0,0.5307308003097305,0.5482388128083948,0.5713394694429683,0.5653770951312618,0.6015490963536984,0.6605153873117564,0.8141237592401188,1.0182456181944477,1.233338805630612,1.3409141141699479,1.382220280611646,1.4020359840324796,1.3148872711885842,1.2132995241346034,1.0842433602098291,0.9872534415396941,0.9420883820754873,0.9343950873314762,0.9349648880814628,0.9330726373009516,0.9083145694099657,0.8640804030279666,0.8286460651816597,0.7886281193050739,0.7611987680160409,0.752170618317148,0.7499773166948313
R21.0,0.5208077998236399,0.5389442507851135,0.5576409888541429,0.5513109109818054,0.5848368126944928,0.6386339864871177,0.7825544748816927,0.9817495844932719,1.1971329717262853,1.307410465231574,1.352002435833073,1.3726804217166835,1.287194411104646,1.1852735116828712,1.0575823729105103,0.9627646654712743,0.9198782891443334,0.9130923016107075,0.9146223715622428,0.9130400624556111,0.887577638431734,0.8449243773265388,0.81009399284907,0.7708723049335253,0.7425261960586662,0.7342336501967306,0.7318432015513714
R22.0,0.5128708979583331,0.5314766088022834,0.5475483774495089,0.5389227115456392,0.5697222282148292,0.6196812989332802,0.7521927612493535,0.9462756966840747,1.1627108010312845,1.2754091423445368,1.3213570364434721,1.3436954280622728,1.2586089886672318,1.160011211202033,1.032403618308939,0.9396126512321841,0.8992258523703979,0.8917569603880141,0.8941919295684454,0.8937720982006732,0.8666905375701751,0.8271360030610195,0.7931405268520657,0.753896997769161,0.724838428783217,0.7172555297370916,0.7137582594772173
R23.0,0.5064235962542248,0.5252453270587463,0.5382764270211815,0.5289624552430147,0.5562063615547461,0.6023237487308851,0.7240605992967877,0.9129533606229834,1.1282205854479441,1.2424762270165635,1.2913106214860288,1.3161269647500704,1.230829179281139,1.134794774213072,1.0088034271180306,0.9176900052489928,0.8796337021520666,0.8727065220382817,0.8748313020116083,0.8740430124297437,0.8472350673689869,0.8092333737956972,0.777314424511974,0.7371345422151506,0.7080439124813429,0.7005887610506255,0.6976247231111291
R24.0,0.5012109514650989,0.5200555933235049,0.5303984229968792,0.5204811360264171,0.5452191921215243,0.5869869341201217,0.6979210841633133,0.8814480502314006,1.0948881607267003,1.211034889683398,1.2617135465536131,1.2881084101516276,1.205738864051036,1.1099136501950935,0.9856500575902196,0.8965234333374488,0.860765673885599,0.8544006473366623,0.8566703037723993,0.8548240254512512,0.8290112868754407,0.7920605764170748,0.7617576773724516,0.7218152770494802,0.6918812318832429,0.6843380486403533,0.6825567545175942
R25.0,0.49713648051843523,0.5165056206350089,0.5243997146701386,0.5128327472489674,0.5353194921308909,0.5738580340452547,0.6744739166951939,0.8499263283441325,1.0630059617238319,1.1801286775853919,1.2317793344081436,1.2601939783396812,1.179891443166911,1.0865599786354734,0.9633157525909348,0.8767559648013817,0.8414930095626411,0.8353226228105715,0.8390074114169368,0.8366941486816444,0.8111715072409039,0.7758825814117325,0.7478214808324817,0.7070240132835018,0.6767302525198925,0.6701394053090418,0.6669495371728096
R26.0,0.49414198886034644,0.5140717796986362,0.5197081005656082,0.5073533555435786,0.5270541904536782,0.5618875888659266,0.6514687363951864,0.8206500220194924,1.0318525080872671,1.149263740556887,1.2022001842699979,1.233212983638954,1.153662267507904,1.0638235388244903,0.9415766620689524,0.857499661721905,0.8240922413783471,0.8192639139976977,0.8216664965039965,0.8197868154798702,0.7936891645300241,0.761218167286442,0.7339838514617454,0.6925046033301622,0.6625665651411178,0.6563169494977193,0.65321078670241
R27.0,0.4929188433997443,0.5126575541601062,0.5144429019282648,0.5037451642128171,0.5214417038059508,0.5524160013156701,0.6309253446653451,0.7930814303666741,1.001268762113033,1.119067994784366,1.1743205373151395,1.2069220423063898,1.1298498249941034,1.0407807617911564,0.9224633353874375,0.8391112569952033,0.8075980241538988,0.8036836947879596,0.8053530272612813,0.8030202280918042,0.7769738044691658,0.7470767669505008,0.7213048215779012,0.680058338916432,0.6491873065972557,0.6429250193163186,0.6402611362922075
