,CR03,CR06,CR10,CR20,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR79,CR84,CR88,CR90,CR93
R4.0,0.8476554806981628,1.026845513816358,1.150046538244289,1.331907313147486,1.466449245434136,1.5054065124024096,1.5243127556005431,1.5197523377431537,1.5162934449950562,1.5054202379868953,1.4847251548657698,1.4596328908911425,1.4216356294611443,1.3766944133454064,1.3263683883426205,1.2763110724070685,1.213101573078115,1.176300250898007,1.1823725400658425,1.1098128812783226
R5.0,0.8260925781140528,0.9669807509917892,1.0751835906517435,1.2474473017557595,1.3604859208905158,1.4016446971388552,1.430124586283463,1.4489608666915947,1.4602067829263354,1.4565783336678708,1.4398369887183098,1.4166352150839623,1.378843279993555,1.3321142847327838,1.2783562785986242,1.2282592608926026,1.1657409584041414,1.1305383431621157,1.134715617980066,1.0656077222558973
R6.0,0.7948138595424242,0.902784975648935,1.0159417255104575,1.182785771703136,1.2914446140830795,1.3330459280806868,1.3618848751746553,1.3861340406708424,1.4062588759602057,1.4081425599591924,1.395629042840129,1.3737417448676275,1.336119744092086,1.2886572565893972,1.232621556085201,1.1818735939237421,1.1201071554615156,1.0868557964005225,1.0901453651491584,1.0237645908386046
R7.0,0.7586113224932914,0.8441297458638833,0.955700959055404,1.1166558212831896,1.2249551872185969,1.266287467825925,1.2960656149292553,1.3252409786260744,1.353113948285223,1.3598243175507374,1.351318197532942,1.3313183423796824,1.2933868446246077,1.245334494366293,1.1878058072184219,1.1374112496339928,1.0771884718026996,1.045024695601145,1.046846083172028,0.9834123056108576
R8.0,0.7203937733349854,0.7906196069921275,0.8943669053477706,1.050740131515845,1.1615921303155075,1.203009252289052,1.2326677639909942,1.266335632977055,1.3004928331727101,1.3116891174901808,1.3070416360473485,1.2890417017616698,1.2515318148936572,1.2027664415006007,1.1441733672307421,1.0942614842425331,1.0362837304178634,1.005290870170428,1.0053957123563715,0.9448258399579729
R9.0,0.6844683789769949,0.7427063126907915,0.8351203390901167,0.9863142846510391,1.1008356867614413,1.1433738807959262,1.1730849562826842,1.2095614647498254,1.2490199742762804,1.26400145543969,1.2624498577192915,1.2466716169584078,1.2100087308650154,1.1618682822374087,1.1017598815977367,1.0531084708080505,0.9971992248284752,0.9674975611560906,0.9662194739946822,0.9077398286064238
R10.0,0.6503198622099432,0.6990370604332293,0.7779257724897318,0.9248867471137906,1.0430011726779211,1.0863431793423464,1.1166876522604166,1.1559830098399486,1.199804673907291,1.2173570790386838,1.2184338986584917,1.2045029753713041,1.1692681351983818,1.121739137396257,1.0606075511761204,1.0131273999750812,0.9600084143647669,0.9314466092618361,0.9291141491747059,0.8724388220943512
R11.0,0.6192146206137119,0.6597168947155101,0.7254562605023308,0.8673011732880569,0.9879126408742357,1.03231506881212,1.0630504698673469,1.1046392756636059,1.151975055643842,1.1720377000156221,1.1756411771890785,1.1630606627305504,1.1290083599768703,1.0824022135861817,1.0213230042932495,0.9748543047673336,0.9242278742213926,0.8971579706319972,0.8936877742132234,0.8395194559567241
R12.0,0.5924330004942011,0.6259073203368999,0.6781386388986367,0.8137307851135592,0.9360856144767066,0.9812749961445895,1.0122338049412192,1.0556215453447317,1.105705548274229,1.127288396840704,1.1338263314757822,1.1221331997042934,1.089672671161243,1.0438883936489292,0.983421946674389,0.9382293104460259,0.8903946891964228,0.8642990986444462,0.8602490860939106,0.8082321181359987
R13.0,0.5693802176957061,0.5967649766570287,0.6361667300188687,0.764035401840993,0.8878117944199726,0.9330762348721112,0.9643478741528895,1.0090166239591023,1.0609265567515231,1.0837436208177518,1.092809850368906,1.0828036766182312,1.0506598055499292,1.006478227192571,0.9470494199021547,0.9025911853615926,0.8580360090228486,0.832979590305565,0.8287158346093064,0.7790396204455238
R14.0,0.550421006416053,0.5722075140894151,0.5999164666043744,0.7195041455579324,0.843270064644423,0.8879260157230953,0.919412634751652,0.9645756443683104,1.0176813051738605,1.0412166451172074,1.0528120665133336,1.0441303090364513,1.0126817023675299,0.9701499466174811,0.912055090712823,0.8694471379736192,0.8270644039920325,0.8030707113225438,0.7987912012792578,0.7516044729313135
R15.0,0.5360391051402398,0.5522518986043811,0.5693739466016698,0.6786941407739996,0.8020187636592171,0.8458161512242016,0.8770406248626039,0.9225103943209293,0.9760332015570039,1.000376810827387,1.0139391850378483,1.0067050314475412,0.9757782076824131,0.9350013191772896,0.8783585212364297,0.8381832253890016,0.7980840851930265,0.7744800911142058,0.7706720340217161,0.7257485882372267
R16.0,0.5247471526395686,0.5357689397677426,0.5447886946254297,0.6424967797742092,0.7640046506530488,0.806952870936401,0.8374022321323141,0.882800565142614,0.9362684810130589,0.9606943907494986,0.9758206642530441,0.9698127124973652,0.9402055951578914,0.9007864174072099,0.8461490413188273,0.8078824038422971,0.7702083492626401,0.7475591585911765,0.7442275580057787,0.7017393162455785
R17.0,0.5163132293431664,0.5237346284183724,0.5257932907642879,0.6117121403120662,0.7287859766186752,0.7710122965808563,0.8006289990792221,0.8454178784019383,0.8982039971025864,0.922859314191788,0.9390072156121215,0.9341163545527249,0.9060099430625798,0.867758609069613,0.815518983600946,0.7792161681061288,0.7438733523897847,0.7221679137323513,0.7193608496231142,0.6792041702084043
R18.0,0.5106486478562665,0.5149765555654675,0.5118185398122319,0.584997444849391,0.6966914479808718,0.7379383335226268,0.7663837906631533,0.8103896609225958,0.8620863505607123,0.8863127704555315,0.9033546756079788,0.8995316510329788,0.8728538554936389,0.8360244130130012,0.7863291561241345,0.752072904267023,0.7196900802615239,0.6981401235468917,0.6965105794609007,0.6582140620970307
R19.0,0.5072545208485175,0.5088537093978682,0.5025980686737128,0.562590413496613,0.6676800150617068,0.7074049247614925,0.7346496578368809,0.7773961890151206,0.8276789544703409,0.8514729843386907,0.8691398771130155,0.8660896389833528,0.8407159140883868,0.805589740288136,0.7585052066642177,0.7265035730402488,0.6962782021514313,0.6755823995972822,0.6752024483331778,0.6389059065405527
R20.0,0.5047812501055798,0.5054406603417224,0.4972430065421387,0.5438331121034102,0.6412389889035315,0.6793522205880271,0.7057693313912754,0.7466382009762816,0.7950575790064505,0.8176515094295744,0.8362134531613167,0.8340685265192141,0.8096804326183762,0.7765134768073884,0.7321999975172612,0.7026970961782294,0.6744082226628383,0.6543273599881544,0.6553581054615882,0.6211276923108712
R21.0,0.503628599155153,0.5032013015186462,0.4949102544155279,0.5295415820839047,0.6176227976574371,0.6537816748812616,0.6793597740633048,0.7180275373912068,0.7642411416030044,0.7865185769340128,0.804859493593003,0.8031604710866855,0.7802721526733712,0.7485349640458622,0.7074978156410486,0.6799614464139463,0.6542767899121559,0.6346817068724453,0.6372390932862049,0.6048358378847918
R22.0,0.5027349118304918,0.5015932310291311,0.4947477537225037,0.5187340245621792,0.5967676825310222,0.6305674414473528,0.6550619758181411,0.6916648153938749,0.7353554563766492,0.7567726976802817,0.7749055114233306,0.7738571994330647,0.7519960107111903,0.7220576406939013,0.6842362527238395,0.6585417958146739,0.634968480619797,0.6166837896170404,0.620432756760277,0.5898666818018571
R23.0,0.5019823373772575,0.5003350699566881,0.4953792754296307,0.5107063233173705,0.5782198353506315,0.6096712762774088,0.6328283475914469,0.6676031040511073,0.7082826794070715,0.7286730323776175,0.7455603033494506,0.7455928994841459,0.7253446490271301,0.6972400041624279,0.6623610056567065,0.6391406273831123,0.6172712137446278,0.6001146392246136,0.6051011966953543,0.5760905222886613
R24.0,0.5010474400664857,0.49870354914397086,0.4966387321739346,0.5054227550352617,0.562084352506787,0.590830282955063,0.6127411120109094,0.6452729618590359,0.683128410889365,0.7030277053061114,0.7191217609017072,0.7188997203259311,0.6999271548780773,0.6740397790262409,0.6420000474168611,0.620904363716069,0.6010999815018424,0.5852015236059372,0.5914709375340148,0.5637384322027746
R25.0,0.5001425971007353,0.4975208837470455,0.4972439335448307,0.502218345440281,0.5483661786028795,0.5741424739723696,0.5946044816435692,0.6248676843880835,0.6599458898640788,0.6781485043216476,0.6931172354601193,0.6935704148312247,0.6759622795863321,0.6522163069334459,0.6232470751848723,0.6041195562887077,0.5859300992050509,0.5716422053673659,0.5791224889444319,0.5524485662770622
R26.0,0.49902450860785375,0.49637754654158434,0.49847686173154043,0.5010560070452764,0.5366048719690042,0.5595613219288004,0.5784522525165826,0.6062962073933575,0.6385340007172959,0.6560528196210853,0.6694593622341011,0.6698489733996463,0.653334914819122,0.631929619632849,0.6054459412629821,0.5888040783323532,0.5722974390894587,0.5595171218586332,0.5681503540958328,0.5424145886274656
R27.0,0.4982112236369808,0.4952494207253589,0.49905322719369205,0.5008591798605315,0.5268427898264338,0.5468266966840224,0.5640487780194796,0.5895377618193552,0.6188180380039727,0.6347738790149932,0.6471155699555905,0.6473813559352074,0.6322050466246251,0.6131277660861337,0.5897582954214113,0.5745184249042736,0.5600134979232084,0.5489406520794626,0.5584998670330127,0.5337485103056537
R28.0,0.49809955908588327,0.494696836593673,0.5000169169601665,0.5010095199911355,0.5190739776301934,0.5358343051367689,0.5513184602063859,0.5744689333508096,0.6009014774868856,0.6157918658567738,0.626452974276912,0.6269658474053196,0.6131242651091834,0.5957860898699882,0.5752085143837883,0.562055305717616,0.5489533656116231,0.539720323044347,0.5499721731872774,0.5260282298849842
