,CR03,CR06,CR10,CR20,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR79,CR84,CR88,CR90,CR93
R4.0,0.8380505432538227,1.0502217062853696,1.1878036456364152,1.3695775282358786,1.502048518776154,1.5644654180422066,1.5755515059620477,1.5516085478460386,1.5200742162284777,1.4874825536444327,1.4430168575828415,1.4094546514973074,1.3828439525597207,1.3592002209070764,1.3303724990949015,1.296852959164352,1.2510942872555384,1.2345650609269327,1.1759488995383507,1.1435579675153555
R5.0,0.8422092591371318,1.0290993678717555,1.1539668795811515,1.336502931607205,1.450305546509916,1.4937601419444222,1.5078258683412533,1.4968099623331652,1.4716016890688624,1.4368616465631832,1.3878390459289256,1.3512640733071593,1.3294208634389846,1.3132101029088028,1.2909872297844651,1.2615932442838862,1.2174109810010538,1.202101385896841,1.1441924526818241,1.1130173266264
R6.0,0.8379848556641825,1.0041947356738707,1.1251939924255963,1.3129887028490144,1.4260759571453434,1.4661684925840859,1.4723304793475593,1.4549397284888848,1.4271669320338811,1.3889489658809822,1.3351622599116204,1.2970984241869525,1.2801298838592503,1.2695032298169189,1.2530422557972252,1.2285663641349491,1.185194582321989,1.1702704899139609,1.1139778276652785,1.084298331920635
R7.0,0.827159194623613,0.9770891471368168,1.0953922756735224,1.2872023788589408,1.4017671712495199,1.438718045736034,1.437688680341426,1.4154842326335373,1.3843151638384736,1.3429086231603136,1.2860271464069553,1.2463626876516258,1.233416259436795,1.227594936585629,1.2172093587223536,1.1964116752186225,1.1537949032733268,1.1398993060866836,1.0846368383181193,1.0563870511711089
R8.0,0.8109091205133754,0.9466577715350976,1.0645061297508065,1.2592203051179727,1.3768027745513949,1.4112328759586656,1.4043956557963504,1.3774120231387634,1.3428588769195078,1.2991773528113266,1.239436472227329,1.1982996355836275,1.1891773203328866,1.1883489319671707,1.18254351414229,1.164920598867205,1.1235402897938394,1.1102796932475965,1.0566195520215689,1.0292080546161289
R9.0,0.7909198538263905,0.9151383387271943,1.032954265952292,1.23010608807793,1.3511831770200424,1.3840610544759335,1.372230754041179,1.3405321368432184,1.3027597793072463,1.257709573827222,1.195060144232334,1.1528133222580825,1.147307339897465,1.1508902251221225,1.1490213470587427,1.1346850825276351,1.0944389064540332,1.081467989041257,1.0288859462095226,1.002752036913448
R10.0,0.7682275587870684,0.8826329122386544,1.0011201860745866,1.199812627357527,1.3250087744411152,1.3573629601430093,1.3408316308078039,1.3048000855037425,1.26454608837501,1.2174011646814853,1.1528252784922384,1.1097910980615187,1.108333383623972,1.1150799050036948,1.116654165103333,1.104957567466564,1.0664448807098064,1.0532539237294778,1.0022551337546137,0.9770137178197655
R11.0,0.7440859120055565,0.8491600121007814,0.969282997388867,1.1685657980435258,1.2985492619070922,1.330797653902002,1.3101605175183173,1.2702227042896967,1.2278041740418728,1.1789345151768928,1.1126701290410315,1.0691574735133633,1.071500169648644,1.080836265484487,1.0854873781649177,1.0769569474649718,1.038950447152343,1.0257772955985673,0.97619670722276,0.9523596045798352
R12.0,0.7190266309023503,0.8156502353886229,0.9377663293550532,1.1363565378020828,1.2719028254844085,1.3044035772588882,1.2802341382156093,1.2368198920475189,1.1923562697427466,1.141986949875523,1.074524484878866,1.0308367658437003,1.0366490076803152,1.0481201267043938,1.055402462705546,1.0492497529461358,1.0125070571687145,0.9989793944893994,0.9510198875977701,0.9285050206564496
R13.0,0.6940721754418114,0.7825503012347144,0.9061711082377801,1.1036658078983124,1.24491485156503,1.2781724001900197,1.2510385627547012,1.2045650381757733,1.1581473989896236,1.1063940384738822,1.0383238095001361,0.9951639711568643,1.0036889942560203,1.0168719600344875,1.0263717556922742,1.022808768180041,0.9867065146648369,0.9730019386328894,0.926513117511611,0.9053351304053625
