radius;section;value
4.0;CR02;0.8766935641220363
5.0;CR02;0.8587284940621512
6.0;CR02;0.8335566194863947
7.0;CR02;0.8040064221172464
8.0;CR02;0.7720832438158471
9.0;CR02;0.7394685996748528
10.0;CR02;0.7072001680879041
11.0;CR02;0.6755063307878733
12.0;CR02;0.6451337518115074
13.0;CR02;0.6177457200752792
14.0;CR02;0.5914531820235546
15.0;CR02;0.5700664600424026
16.0;CR02;0.5509490124963967
17.0;CR02;0.5347317268722133
18.0;CR02;0.5222964206453685
19.0;CR02;0.5143972618879367
20.0;CR02;0.5072417114186949
21.0;CR02;0.5031712221297729
22.0;CR02;0.5017854869539836
23.0;CR02;0.5002883708792488
24.0;CR02;0.4994113854770751
25.0;CR02;0.5001958576822865
26.0;CR02;0.5021455305015115
27.0;CR02;0.5021229093479858
28.0;CR02;0.5027700165294567
29.0;CR02;0.5046810251550112
30.0;CR02;0.5062933281334591
31.0;CR02;0.5059256218660072
32.0;CR02;0.5069659378819803
33.0;CR02;0.5053192903707875
34.0;CR02;0.497661736820814
35.0;CR02;0.4848473763794149
36.0;CR02;0.467006170847269
37.0;CR02;0.4431113801846872
38.0;CR02;0.4139437436334558
39.0;CR02;0.3786240131664384
40.0;CR02;0.3379942779235165
41.0;CR02;0.292472510755689
42.0;CR02;0.2400632628669188
43.0;CR02;
44.0;CR02;
45.0;CR02;
46.0;CR02;
47.0;CR02;
48.0;CR02;
49.0;CR02;
50.0;CR02;
51.0;CR02;
52.0;CR02;
53.0;CR02;
54.0;CR02;
55.0;CR02;
56.0;CR02;
57.0;CR02;
58.0;CR02;
59.0;CR02;
60.0;CR02;
61.0;CR02;
62.0;CR02;
63.0;CR02;
64.0;CR02;
65.0;CR02;
66.0;CR02;
67.0;CR02;
68.0;CR02;
69.0;CR02;
70.0;CR02;
71.0;CR02;
72.0;CR02;
73.0;CR02;
74.0;CR02;
75.0;CR02;
76.0;CR02;
77.0;CR02;
4.0;CR03;0.934949413247602
5.0;CR03;0.8999650260531958
6.0;CR03;0.8658994376089099
7.0;CR03;0.8282164587187418
8.0;CR03;0.7869117292369883
9.0;CR03;0.7474012747206794
10.0;CR03;0.7080410170108363
11.0;CR03;0.6715635799627314
12.0;CR03;0.6377056254260408
13.0;CR03;0.6067999018352798
14.0;CR03;0.5788544915070535
15.0;CR03;0.5560048968874945
16.0;CR03;0.5368692107166989
17.0;CR03;0.5214574886594678
18.0;CR03;0.509771103518495
19.0;CR03;0.5016704022747955
20.0;CR03;0.4964117707904159
21.0;CR03;0.4942271986767163
22.0;CR03;0.4920308360122739
23.0;CR03;0.4919477620568379
24.0;CR03;0.4919851124523119
25.0;CR03;0.4924173181216498
26.0;CR03;0.49326093559826
27.0;CR03;0.494735835876583
28.0;CR03;0.4961887604607461
29.0;CR03;0.49749567948423
30.0;CR03;0.4981563989296733
31.0;CR03;0.4993097315149927
32.0;CR03;0.5006008686216128
33.0;CR03;0.4977225087547998
34.0;CR03;0.4896150676502788
35.0;CR03;0.4756598093813225
36.0;CR03;0.4559527495555059
37.0;CR03;0.4315253440460517
38.0;CR03;0.4009317296416291
39.0;CR03;0.3639883111246496
40.0;CR03;0.3224433423823227
41.0;CR03;0.275028147292186
42.0;CR03;0.221020581168872
43.0;CR03;
44.0;CR03;
45.0;CR03;
46.0;CR03;
47.0;CR03;
48.0;CR03;
49.0;CR03;
50.0;CR03;
51.0;CR03;
52.0;CR03;
53.0;CR03;
54.0;CR03;
55.0;CR03;
56.0;CR03;
57.0;CR03;
58.0;CR03;
59.0;CR03;
60.0;CR03;
61.0;CR03;
62.0;CR03;
63.0;CR03;
64.0;CR03;
65.0;CR03;
66.0;CR03;
67.0;CR03;
68.0;CR03;
69.0;CR03;
70.0;CR03;
71.0;CR03;
72.0;CR03;
73.0;CR03;
74.0;CR03;
75.0;CR03;
76.0;CR03;
77.0;CR03;
4.0;CR05;1.074924942872444
5.0;CR05;1.0252043822297476
6.0;CR05;0.9776977917346612
7.0;CR05;0.925432726385512
8.0;CR05;0.871818186344209
9.0;CR05;0.8194931125402098
10.0;CR05;0.7701113234595557
11.0;CR05;0.7228379561146204
12.0;CR05;0.6803256355403138
13.0;CR05;0.6416470777940465
14.0;CR05;0.6080030668817527
15.0;CR05;0.5801455553693022
16.0;CR05;0.5572397791289452
17.0;CR05;0.5383089716040108
18.0;CR05;0.522659148359588
19.0;CR05;0.5130296534715602
20.0;CR05;0.5058478553066084
21.0;CR05;0.5019559553928442
22.0;CR05;0.4995417313159352
23.0;CR05;0.4964793734357122
24.0;CR05;0.4955765722526138
25.0;CR05;0.4946522736625069
26.0;CR05;0.4959088949701282
27.0;CR05;0.4969301305004965
28.0;CR05;0.4978357713532742
29.0;CR05;0.4992020972130127
30.0;CR05;0.5009007881630428
31.0;CR05;0.5025380978957207
32.0;CR05;0.5029838574685521
33.0;CR05;0.5000762253814243
34.0;CR05;0.4901381817125099
35.0;CR05;0.4752141105839411
36.0;CR05;0.4547189378347741
37.0;CR05;0.4283394108755312
38.0;CR05;0.3968144953020381
39.0;CR05;0.359629988624436
40.0;CR05;0.3158281345430035
41.0;CR05;0.2662863031190428
42.0;CR05;0.2121425189075579
43.0;CR05;
44.0;CR05;
45.0;CR05;
46.0;CR05;
47.0;CR05;
48.0;CR05;
49.0;CR05;
50.0;CR05;
51.0;CR05;
52.0;CR05;
53.0;CR05;
54.0;CR05;
55.0;CR05;
56.0;CR05;
57.0;CR05;
58.0;CR05;
59.0;CR05;
60.0;CR05;
61.0;CR05;
62.0;CR05;
63.0;CR05;
64.0;CR05;
65.0;CR05;
66.0;CR05;
67.0;CR05;
68.0;CR05;
69.0;CR05;
70.0;CR05;
71.0;CR05;
72.0;CR05;
73.0;CR05;
74.0;CR05;
75.0;CR05;
76.0;CR05;
77.0;CR05;
4.0;CR07;1.138306400707744
5.0;CR07;1.0698998856473436
6.0;CR07;1.0148280136558654
7.0;CR07;0.9534918357012284
8.0;CR07;0.8932827533850113
9.0;CR07;0.8347865826791575
10.0;CR07;0.7796435352522665
11.0;CR07;0.7278648645628889
12.0;CR07;0.6818002755807369
13.0;CR07;0.6406580786933564
14.0;CR07;0.6060312306021791
15.0;CR07;0.5776715590946415
16.0;CR07;0.5544406342814548
17.0;CR07;0.5364049228818193
18.0;CR07;0.5226028801053796
19.0;CR07;0.5136245398204018
20.0;CR07;0.5082385979191333
21.0;CR07;0.5046077148555208
22.0;CR07;0.5022115671353792
23.0;CR07;0.5008930830189745
24.0;CR07;0.4988804558428692
25.0;CR07;0.4986405571722715
26.0;CR07;0.4989561220210144
27.0;CR07;0.4986630998593241
28.0;CR07;0.4991620930456107
29.0;CR07;0.5002569066489432
30.0;CR07;0.5011256275318325
31.0;CR07;0.5016696008121866
32.0;CR07;0.5019462910999876
33.0;CR07;0.499948892052703
34.0;CR07;0.4911730782093084
35.0;CR07;0.4764951192467266
36.0;CR07;0.4571265093641868
37.0;CR07;0.4308236678034503
38.0;CR07;0.3988963959242644
39.0;CR07;0.3623610746416406
40.0;CR07;0.3200038437674826
41.0;CR07;0.2711999735650465
42.0;CR07;0.2173427406907768
43.0;CR07;
44.0;CR07;
45.0;CR07;
46.0;CR07;
47.0;CR07;
48.0;CR07;
49.0;CR07;
50.0;CR07;
51.0;CR07;
52.0;CR07;
53.0;CR07;
54.0;CR07;
55.0;CR07;
56.0;CR07;
57.0;CR07;
58.0;CR07;
59.0;CR07;
60.0;CR07;
61.0;CR07;
62.0;CR07;
63.0;CR07;
64.0;CR07;
65.0;CR07;
66.0;CR07;
67.0;CR07;
68.0;CR07;
69.0;CR07;
70.0;CR07;
71.0;CR07;
72.0;CR07;
73.0;CR07;
74.0;CR07;
75.0;CR07;
76.0;CR07;
77.0;CR07;
4.0;CR08;1.2067021568810272
5.0;CR08;1.1285379915238571
6.0;CR08;1.062727020580121
7.0;CR08;0.9938909220727866
8.0;CR08;0.9278949904139492
9.0;CR08;0.8626423221582913
10.0;CR08;0.8027462245092338
11.0;CR08;0.7459414387385856
12.0;CR08;0.6953714273843452
13.0;CR08;0.6498068051296503
14.0;CR08;0.6125615420314443
15.0;CR08;0.5813426835722442
16.0;CR08;0.5563816585536238
17.0;CR08;0.5366064620796382
18.0;CR08;0.5219794911041418
19.0;CR08;0.5127267675862376
20.0;CR08;0.5069681988143303
21.0;CR08;0.5031039371189532
22.0;CR08;0.5010425767212068
23.0;CR08;0.4997666536853365
24.0;CR08;0.4987986048645964
25.0;CR08;0.4970617931850017
26.0;CR08;0.4960213076380391
27.0;CR08;0.4963973118575029
28.0;CR08;0.4965077020882912
29.0;CR08;0.4958298445173391
30.0;CR08;0.4965827762146608
31.0;CR08;0.4977517620956747
32.0;CR08;0.4981537325496303
33.0;CR08;0.496963375813537
34.0;CR08;0.4909699997105464
35.0;CR08;0.4789805820358501
36.0;CR08;0.4611704465428038
37.0;CR08;0.4375528473192117
38.0;CR08;0.4086458762133783
39.0;CR08;0.3732522076117578
40.0;CR08;0.3329989898738502
41.0;CR08;0.2883779944753721
42.0;CR08;0.2364835062037941
43.0;CR08;
44.0;CR08;
45.0;CR08;
46.0;CR08;
47.0;CR08;
48.0;CR08;
49.0;CR08;
50.0;CR08;
51.0;CR08;
52.0;CR08;
53.0;CR08;
54.0;CR08;
55.0;CR08;
56.0;CR08;
57.0;CR08;
58.0;CR08;
59.0;CR08;
60.0;CR08;
61.0;CR08;
62.0;CR08;
63.0;CR08;
64.0;CR08;
65.0;CR08;
66.0;CR08;
67.0;CR08;
