radius;section;value
4.0;CR03;0.8476554806981628
5.0;CR03;0.8260925781140528
6.0;CR03;0.7948138595424242
7.0;CR03;0.7586113224932914
8.0;CR03;0.7203937733349854
9.0;CR03;0.6844683789769949
10.0;CR03;0.6503198622099432
11.0;CR03;0.6192146206137119
12.0;CR03;0.5924330004942011
13.0;CR03;0.5693802176957061
14.0;CR03;0.550421006416053
15.0;CR03;0.5360391051402398
16.0;CR03;0.5247471526395686
17.0;CR03;0.5163132293431664
18.0;CR03;0.5106486478562665
19.0;CR03;0.5072545208485175
20.0;CR03;0.5047812501055798
21.0;CR03;0.503628599155153
22.0;CR03;0.5027349118304918
23.0;CR03;0.5019823373772575
24.0;CR03;0.5010474400664857
25.0;CR03;0.5001425971007353
26.0;CR03;0.4990245086078537
27.0;CR03;0.4982112236369808
28.0;CR03;0.4980995590858832
29.0;CR03;0.4974761354491714
30.0;CR03;0.4977348344528476
31.0;CR03;0.4981716229340719
32.0;CR03;0.4984425202704367
33.0;CR03;0.4970803777770434
34.0;CR03;0.490663833354141
35.0;CR03;0.4789301525468379
36.0;CR03;0.4619950681091931
37.0;CR03;0.4391720621809439
38.0;CR03;0.4104373285804774
39.0;CR03;0.3764224490310083
40.0;CR03;0.3360435010591449
41.0;CR03;0.2903797769902665
42.0;CR03;0.239458324172706
43.0;CR03;
44.0;CR03;
45.0;CR03;
46.0;CR03;
47.0;CR03;
48.0;CR03;
49.0;CR03;
50.0;CR03;
51.0;CR03;
52.0;CR03;
53.0;CR03;
54.0;CR03;
55.0;CR03;
56.0;CR03;
57.0;CR03;
58.0;CR03;
59.0;CR03;
60.0;CR03;
61.0;CR03;
62.0;CR03;
63.0;CR03;
64.0;CR03;
65.0;CR03;
66.0;CR03;
67.0;CR03;
68.0;CR03;
69.0;CR03;
70.0;CR03;
71.0;CR03;
72.0;CR03;
4.0;CR06;1.026845513816358
5.0;CR06;0.9669807509917892
6.0;CR06;0.902784975648935
7.0;CR06;0.8441297458638833
8.0;CR06;0.7906196069921275
9.0;CR06;0.7427063126907915
10.0;CR06;0.6990370604332293
11.0;CR06;0.6597168947155101
12.0;CR06;0.6259073203368999
13.0;CR06;0.5967649766570287
14.0;CR06;0.5722075140894151
15.0;CR06;0.5522518986043811
16.0;CR06;0.5357689397677426
17.0;CR06;0.5237346284183724
18.0;CR06;0.5149765555654675
19.0;CR06;0.5088537093978682
20.0;CR06;0.5054406603417224
21.0;CR06;0.5032013015186462
22.0;CR06;0.5015932310291311
23.0;CR06;0.5003350699566881
24.0;CR06;0.4987035491439708
25.0;CR06;0.4975208837470455
26.0;CR06;0.4963775465415843
27.0;CR06;0.4952494207253589
28.0;CR06;0.494696836593673
29.0;CR06;0.4937868505336579
30.0;CR06;0.4933054817437953
31.0;CR06;0.4928253994895393
32.0;CR06;0.4920133864615719
33.0;CR06;0.4874676271151835
34.0;CR06;0.4771567639095745
35.0;CR06;0.4618528450989598
36.0;CR06;0.441071256525515
37.0;CR06;0.4148700114777793
38.0;CR06;0.3834718340882149
39.0;CR06;0.3460975240743816
40.0;CR06;0.3034682856018961
41.0;CR06;0.2549956508963076
42.0;CR06;0.2009631154608921
43.0;CR06;
44.0;CR06;
45.0;CR06;
46.0;CR06;
47.0;CR06;
48.0;CR06;
49.0;CR06;
50.0;CR06;
51.0;CR06;
52.0;CR06;
53.0;CR06;
54.0;CR06;
55.0;CR06;
56.0;CR06;
57.0;CR06;
58.0;CR06;
59.0;CR06;
60.0;CR06;
61.0;CR06;
62.0;CR06;
63.0;CR06;
64.0;CR06;
65.0;CR06;
66.0;CR06;
67.0;CR06;
68.0;CR06;
69.0;CR06;
70.0;CR06;
71.0;CR06;
72.0;CR06;
4.0;CR10;1.150046538244289
5.0;CR10;1.0751835906517435
6.0;CR10;1.0159417255104577
7.0;CR10;0.955700959055404
8.0;CR10;0.8943669053477706
9.0;CR10;0.8351203390901167
10.0;CR10;0.7779257724897318
11.0;CR10;0.7254562605023308
12.0;CR10;0.6781386388986367
13.0;CR10;0.6361667300188687
14.0;CR10;0.5999164666043744
15.0;CR10;0.5693739466016698
16.0;CR10;0.5447886946254297
17.0;CR10;0.5257932907642879
18.0;CR10;0.5118185398122319
19.0;CR10;0.5025980686737128
20.0;CR10;0.4972430065421387
21.0;CR10;0.4949102544155279
22.0;CR10;0.4947477537225037
23.0;CR10;0.4953792754296307
24.0;CR10;0.4966387321739346
25.0;CR10;0.4972439335448307
26.0;CR10;0.4984768617315404
27.0;CR10;0.499053227193692
28.0;CR10;0.5000169169601665
29.0;CR10;0.5004282013698451
30.0;CR10;0.5009165820580183
31.0;CR10;0.5010505714712529
32.0;CR10;0.5012072425919128
33.0;CR10;0.5002649904243744
34.0;CR10;0.4953243775053648
35.0;CR10;0.4842453589270904
36.0;CR10;0.4678934662277985
37.0;CR10;0.4454410447401215
38.0;CR10;0.4181111983131187
39.0;CR10;0.3847034487879185
40.0;CR10;0.3459604473081984
41.0;CR10;0.3013730134734205
42.0;CR10;0.2513221293943866
43.0;CR10;
44.0;CR10;
45.0;CR10;
46.0;CR10;
47.0;CR10;
48.0;CR10;
49.0;CR10;
50.0;CR10;
51.0;CR10;
52.0;CR10;
53.0;CR10;
54.0;CR10;
55.0;CR10;
56.0;CR10;
57.0;CR10;
58.0;CR10;
59.0;CR10;
60.0;CR10;
61.0;CR10;
62.0;CR10;
63.0;CR10;
64.0;CR10;
65.0;CR10;
66.0;CR10;
67.0;CR10;
68.0;CR10;
69.0;CR10;
70.0;CR10;
71.0;CR10;
72.0;CR10;
4.0;CR20;1.331907313147486
5.0;CR20;1.2474473017557597
6.0;CR20;1.182785771703136
7.0;CR20;1.1166558212831896
8.0;CR20;1.050740131515845
9.0;CR20;0.9863142846510392
10.0;CR20;0.9248867471137906
11.0;CR20;0.8673011732880569
12.0;CR20;0.8137307851135592
13.0;CR20;0.764035401840993
14.0;CR20;0.7195041455579324
15.0;CR20;0.6786941407739996
16.0;CR20;0.6424967797742092
17.0;CR20;0.6117121403120662
18.0;CR20;0.584997444849391
19.0;CR20;0.562590413496613
20.0;CR20;0.5438331121034102
21.0;CR20;0.5295415820839047
22.0;CR20;0.5187340245621792
23.0;CR20;0.5107063233173705
24.0;CR20;0.5054227550352617
25.0;CR20;0.502218345440281
26.0;CR20;0.5010560070452764
27.0;CR20;0.5008591798605315
28.0;CR20;0.5010095199911355
29.0;CR20;0.5015679687454547
30.0;CR20;0.5016321442326407
31.0;CR20;0.5016053609701014
32.0;CR20;0.5014417674293196
33.0;CR20;0.5009783388078914
34.0;CR20;0.5005871318135098
35.0;CR20;0.5002219428393796
36.0;CR20;0.5000494804901191
37.0;CR20;0.4999763854794067
38.0;CR20;0.4981458131095596
39.0;CR20;0.491556416592305
40.0;CR20;0.4792480754835432
41.0;CR20;0.4612704830034924
42.0;CR20;0.4376677061954899
43.0;CR20;0.4083794033319669
44.0;CR20;0.3732804093045624
45.0;CR20;0.3325292086295677
46.0;CR20;0.2857813111523591
47.0;CR20;0.2334169241592522
48.0;CR20;
49.0;CR20;
50.0;CR20;
51.0;CR20;
52.0;CR20;
53.0;CR20;
54.0;CR20;
55.0;CR20;
56.0;CR20;
57.0;CR20;
58.0;CR20;
59.0;CR20;
60.0;CR20;
61.0;CR20;
62.0;CR20;
63.0;CR20;
64.0;CR20;
65.0;CR20;
66.0;CR20;
67.0;CR20;
68.0;CR20;
69.0;CR20;
70.0;CR20;
71.0;CR20;
72.0;CR20;
4.0;CR30;1.466449245434136
5.0;CR30;1.3604859208905158
6.0;CR30;1.2914446140830795
7.0;CR30;1.2249551872185969
8.0;CR30;1.1615921303155077
9.0;CR30;1.1008356867614413
10.0;CR30;1.0430011726779211
11.0;CR30;0.9879126408742356
12.0;CR30;0.9360856144767066
13.0;CR30;0.8878117944199726
14.0;CR30;0.843270064644423
15.0;CR30;0.8020187636592171
16.0;CR30;0.7640046506530488
17.0;CR30;0.7287859766186752
18.0;CR30;0.6966914479808718
19.0;CR30;0.6676800150617068
20.0;CR30;0.6412389889035315
21.0;CR30;0.6176227976574371
22.0;CR30;0.5967676825310222
23.0;CR30;0.5782198353506315
24.0;CR30;0.562084352506787
25.0;CR30;0.5483661786028795
26.0;CR30;0.5366048719690042
27.0;CR30;0.5268427898264338
28.0;CR30;0.5190739776301934
29.0;CR30;0.5128516764208942
30.0;CR30;0.5081243736754499
31.0;CR30;0.5048557163657654
32.0;CR30;0.5025993739951238
33.0;CR30;0.501204797039755
34.0;CR30;0.5006470751649019
35.0;CR30;0.5001422058913279
36.0;CR30;0.4998284713945234
37.0;CR30;0.4996601831807262
38.0;CR30;0.4995342370470152
39.0;CR30;0.4993507717517981
40.0;CR30;0.499386034824851
41.0;CR30;0.4994361496001296
42.0;CR30;0.4965547723168326
43.0;CR30;0.4882625207126132
44.0;CR30;0.4742137355073022
45.0;CR30;0.4544075416391829
46.0;CR30;0.4288382035377474
47.0;CR30;0.3975793915947399
48.0;CR30;0.3605205071364463
49.0;CR30;0.3175625937957634
50.0;CR30;0.2690100088868657
51.0;CR30;0.2144815194158152
52.0;CR30;
53.0;CR30;
54.0;CR30;
55.0;CR30;
56.0;CR30;
57.0;CR30;
58.0;CR30;
59.0;CR30;
60.0;CR30;
61.0;CR30;
62.0;CR30;
63.0;CR30;
64.0;CR30;
65.0;CR30;
66.0;CR30;
67.0;CR30;
68.0;CR30;
69.0;CR30;
70.0;CR30;
71.0;CR30;
72.0;CR30;
4.0;CR35;1.5054065124024096
5.0;CR35;1.4016446971388552
6.0;CR35;1.3330459280806868
7.0;CR35;1.266287467825925
8.0;CR35;1.203009252289052
9.0;CR35;1.1433738807959262
10.0;CR35;1.0863431793423464
11.0;CR35;1.03231506881212
12.0;CR35;0.9812749961445896
13.0;CR35;0.9330762348721112
14.0;CR35;0.8879260157230953
15.0;CR35;0.8458161512242016
16.0;CR35;0.806952870936401
17.0;CR35;0.7710122965808563
18.0;CR35;0.7379383335226268
19.0;CR35;0.7074049247614925
20.0;CR35;0.6793522205880271
21.0;CR35;0.6537816748812616
22.0;CR35;0.6305674414473528
23.0;CR35;0.6096712762774088
24.0;CR35;0.590830282955063
25.0;CR35;0.5741424739723696
26.0;CR35;0.5595613219288004
27.0;CR35;0.5468266966840224
28.0;CR35;0.5358343051367689
29.0;CR35;0.5267239991787492
30.0;CR35;0.5191718712186152
31.0;CR35;0.5130838922566544
32.0;CR35;0.5084347758226715
33.0;CR35;0.5050032146826189
34.0;CR35;0.5026550238310525
35.0;CR35;0.501141825947821
36.0;CR35;0.5003740796325264
37.0;CR35;0.5000124473044583
38.0;CR35;0.4997547126759846
39.0;CR35;0.4996462936790822
40.0;CR35;0.4994839527491201
41.0;CR35;0.499828187926899
42.0;CR35;0.4996667125201101
43.0;CR35;0.4992416208849619
44.0;CR35;0.495593869254452
45.0;CR35;0.4860811813536501
46.0;CR35;0.4709192524617166
47.0;CR35;0.4499790568365029
48.0;CR35;0.4233915989664695
49.0;CR35;0.3908529117706248
50.0;CR35;0.3527886040196337
51.0;CR35;0.3087922674536522
52.0;CR35;0.259145663470421
53.0;CR35;0.2037322940098301
54.0;CR35;
55.0;CR35;
56.0;CR35;
57.0;CR35;
58.0;CR35;
59.0;CR35;
60.0;CR35;
61.0;CR35;
62.0;CR35;
63.0;CR35;
64.0;CR35;
65.0;CR35;
66.0;CR35;
67.0;CR35;
68.0;CR35;
69.0;CR35;
70.0;CR35;
71.0;CR35;
72.0;CR35;
4.0;CR40;1.5243127556005431
5.0;CR40;1.430124586283463
6.0;CR40;1.3618848751746553
7.0;CR40;1.296065614929255
8.0;CR40;1.2326677639909942
9.0;CR40;1.1730849562826842
10.0;CR40;1.1166876522604166
11.0;CR40;1.0630504698673469
12.0;CR40;1.0122338049412192
13.0;CR40;0.9643478741528896
14.0;CR40;0.919412634751652
15.0;CR40;0.8770406248626039
16.0;CR40;0.8374022321323141
17.0;CR40;0.8006289990792221
18.0;CR40;0.7663837906631533
19.0;CR40;0.7346496578368809
20.0;CR40;0.7057693313912754
21.0;CR40;0.6793597740633048
22.0;CR40;0.6550619758181411
23.0;CR40;0.6328283475914469
24.0;CR40;0.6127411120109094
25.0;CR40;0.5946044816435692
26.0;CR40;0.5784522525165826
27.0;CR40;0.5640487780194796
28.0;CR40;0.5513184602063859
29.0;CR40;0.5402700857125409
30.0;CR40;0.5309471674647033
31.0;CR40;0.522922170200823
32.0;CR40;0.516355090488464
33.0;CR40;0.5112027072422705
34.0;CR40;0.5072168838044766
35.0;CR40;0.5043428716075243
36.0;CR40;0.5023108768337342
37.0;CR40;0.5012273048862801
38.0;CR40;0.5005466160509171
39.0;CR40;0.5002710830698358
40.0;CR40;0.5000139101990144
41.0;CR40;0.4999645533213315
42.0;CR40;0.499913315734377
43.0;CR40;0.4999873803096538
44.0;CR40;0.4999395269915022
45.0;CR40;0.4998635609924698
46.0;CR40;0.4998764883147155
47.0;CR40;0.4976767497110416
48.0;CR40;0.4896723990750892
49.0;CR40;0.475691995403504
50.0;CR40;0.4558985125419377
51.0;CR40;0.4302360365700002
52.0;CR40;0.3987668184609446
53.0;CR40;0.3614998322286748
54.0;CR40;0.3181983322086895
55.0;CR40;0.2692534575253811
56.0;CR40;0.2142667584523603
57.0;CR40;
58.0;CR40;
59.0;CR40;
60.0;CR40;
61.0;CR40;
62.0;CR40;
63.0;CR40;
64.0;CR40;
65.0;CR40;
66.0;CR40;
67.0;CR40;
68.0;CR40;
69.0;CR40;
70.0;CR40;
71.0;CR40;
72.0;CR40;
4.0;CR45;1.5197523377431537
5.0;CR45;1.4489608666915947
6.0;CR45;1.3861340406708424
7.0;CR45;1.3252409786260744
8.0;CR45;1.266335632977055
9.0;CR45;1.2095614647498254
10.0;CR45;1.1559830098399486
11.0;CR45;1.104639275663606
12.0;CR45;1.0556215453447315
13.0;CR45;1.0090166239591023
14.0;CR45;0.9645756443683104
15.0;CR45;0.9225103943209292
16.0;CR45;0.882800565142614
17.0;CR45;0.8454178784019383
18.0;CR45;0.8103896609225958
19.0;CR45;0.7773961890151206
20.0;CR45;0.7466382009762816
21.0;CR45;0.7180275373912068
22.0;CR45;0.6916648153938749
23.0;CR45;0.6676031040511073
24.0;CR45;0.6452729618590359
25.0;CR45;0.6248676843880835
26.0;CR45;0.6062962073933575
27.0;CR45;0.5895377618193552
28.0;CR45;0.5744689333508096
29.0;CR45;0.5609348373803466
30.0;CR45;0.5490168682995814
31.0;CR45;0.5386311206057894
32.0;CR45;0.5297608696330688
33.0;CR45;0.5222272709794017
34.0;CR45;0.5159694602576996
35.0;CR45;0.5109130809066998
36.0;CR45;0.5070934327457394
37.0;CR45;0.5042172616153142
38.0;CR45;0.5022349736186466
39.0;CR45;0.5007731912843124
40.0;CR45;0.5000232410716665
41.0;CR45;0.499644105189952
42.0;CR45;0.4995676389376023
43.0;CR45;0.4995307402455618
44.0;CR45;0.4994758179561904
45.0;CR45;0.4994046476123486
46.0;CR45;0.4994641670517563
47.0;CR45;0.4995847196465234
48.0;CR45;0.4996678861124132
49.0;CR45;0.499729421208946
50.0;CR45;0.4997679299238478
51.0;CR45;0.4999261416747881
52.0;CR45;0.4974137795769494
53.0;CR45;0.4893336589224802
54.0;CR45;0.4751069845694203
55.0;CR45;0.4550811738322027
56.0;CR45;0.4293740235326982
57.0;CR45;0.3975266946787394
58.0;CR45;0.3600482013764995
59.0;CR45;0.31650299821558
60.0;CR45;0.2671783904845617
61.0;CR45;
62.0;CR45;
63.0;CR45;
64.0;CR45;
65.0;CR45;
66.0;CR45;
67.0;CR45;
68.0;CR45;
69.0;CR45;
70.0;CR45;
71.0;CR45;
72.0;CR45;
4.0;CR50;1.5162934449950562
5.0;CR50;1.4602067829263354
6.0;CR50;1.4062588759602055
7.0;CR50;1.353113948285223
8.0;CR50;1.30049283317271
9.0;CR50;1.2490199742762804
10.0;CR50;1.199804673907291
11.0;CR50;1.151975055643842
12.0;CR50;1.105705548274229
13.0;CR50;1.0609265567515231
14.0;CR50;1.0176813051738605
15.0;CR50;0.976033201557004
16.0;CR50;0.9362684810130588
17.0;CR50;0.8982039971025864
18.0;CR50;0.8620863505607123
19.0;CR50;0.8276789544703409
20.0;CR50;0.7950575790064505
21.0;CR50;0.7642411416030044
22.0;CR50;0.7353554563766492
23.0;CR50;0.7082826794070715
24.0;CR50;0.683128410889365
25.0;CR50;0.6599458898640788
26.0;CR50;0.6385340007172959
27.0;CR50;0.6188180380039727
28.0;CR50;0.6009014774868856
29.0;CR50;0.5846307240048024
30.0;CR50;0.5700756227653208
31.0;CR50;0.5570860509989678
32.0;CR50;0.5455923275401799
33.0;CR50;0.5355490977066953
34.0;CR50;0.5270041838875866
35.0;CR50;0.5195146530212337
36.0;CR50;0.5138832067694604
37.0;CR50;0.5088236160518317
38.0;CR50;0.5055914950915815
39.0;CR50;0.5025622036507947
40.0;CR50;0.5011571117943816
41.0;CR50;0.499800429837454
42.0;CR50;0.4993363504515836
43.0;CR50;0.4990751286161243
44.0;CR50;0.4991050432589473
45.0;CR50;0.4990121199314846
46.0;CR50;0.4990670933354862
47.0;CR50;0.4992081945448721
48.0;CR50;0.4993774834934464
49.0;CR50;0.4995896170761687
50.0;CR50;0.499806663152549
51.0;CR50;0.4999343340550153
52.0;CR50;0.5000719235680925
53.0;CR50;0.5002550044977473
54.0;CR50;0.500460902020582
55.0;CR50;0.5006510192368733
56.0;CR50;0.5007554610497268
