radius;section;value
4.0;CR03;0.8380505432538227
5.0;CR03;0.8422092591371318
6.0;CR03;0.8379848556641825
7.0;CR03;0.827159194623613
8.0;CR03;0.8109091205133754
9.0;CR03;0.7909198538263905
10.0;CR03;0.7682275587870684
11.0;CR03;0.7440859120055565
12.0;CR03;0.7190266309023503
13.0;CR03;0.6940721754418114
14.0;CR03;0.6693972452905727
15.0;CR03;0.6458464793530669
16.0;CR03;0.6237597656544178
17.0;CR03;0.6037928812140275
18.0;CR03;0.5856394053373918
19.0;CR03;0.5697098750062118
20.0;CR03;0.5558376408820521
21.0;CR03;0.5441278276461016
22.0;CR03;0.5342554080219704
23.0;CR03;0.526208816089419
24.0;CR03;0.5198164241153589
25.0;CR03;0.5151096400786837
26.0;CR03;0.5115065052095742
27.0;CR03;0.509027842452714
28.0;CR03;0.5074765412809028
29.0;CR03;0.5065882237853035
30.0;CR03;0.50618747582491
31.0;CR03;0.5059832385291166
32.0;CR03;0.5058621897738789
33.0;CR03;0.5056281565747793
34.0;CR03;0.5054480371691585
35.0;CR03;0.5051825478998685
36.0;CR03;0.5050032784101254
37.0;CR03;0.5047829327329941
38.0;CR03;0.5047083464279428
39.0;CR03;0.5046261029796265
40.0;CR03;0.5046345170392104
41.0;CR03;0.5047103692367365
42.0;CR03;0.5025645222131605
43.0;CR03;0.4961701578156254
44.0;CR03;0.4855893290526152
45.0;CR03;0.4703772185873792
46.0;CR03;0.4507250739221736
47.0;CR03;0.4272352674804185
48.0;CR03;0.3986241297974423
49.0;CR03;0.3659366868010916
50.0;CR03;0.3287324556668568
51.0;CR03;
52.0;CR03;
53.0;CR03;
54.0;CR03;
55.0;CR03;
56.0;CR03;
57.0;CR03;
58.0;CR03;
59.0;CR03;
60.0;CR03;
61.0;CR03;
62.0;CR03;
63.0;CR03;
64.0;CR03;
65.0;CR03;
66.0;CR03;
67.0;CR03;
68.0;CR03;
69.0;CR03;
70.0;CR03;
71.0;CR03;
72.0;CR03;
73.0;CR03;
74.0;CR03;
75.0;CR03;
76.0;CR03;
