,CR03,CR05,CR06,CR08,CR09,CR10,CR15,CR20,CR25,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR79,CR84,CR88,CR90,CR91,CR93,CR94
R4.0,6.227550293737343,5.215334394011585,4.759363851405995,4.411194977677512,4.234932529076969,4.186467094617551,4.142883659421227,4.129870684450102,4.170212436927657,4.099198274780073,4.067580751946606,4.024201231431054,3.8374533044510395,3.5717674939476147,3.3683797143552203,3.223114784438819,3.174996662299934,3.1567528517307544,3.160423181989762,3.1686317470365255,3.1243144329917554,3.0607716889705463,2.992626074080116,2.964288651808477,2.9720827981471167,2.921822007608724,2.925097650459202
R5.0,6.798516387766578,5.753234839274764,5.2680850609217895,4.887065377062585,4.677054917762744,4.598883155776292,4.50965247920809,4.437944717320038,4.445991108398151,4.355565557692595,4.316742870666176,4.268818589142425,4.081327290916784,3.773456421752262,3.5520681918573835,3.4030969557142536,3.3448723520752055,3.331290183340041,3.3345914132818235,3.3321195850252145,3.2827290840404553,3.2125876484876263,3.140791703073362,3.1257203998649685,3.088039379714787,3.101113877701491,3.075062380074831
R6.0,7.363411049154805,6.269551485266096,5.756698620592907,5.3460722285019315,5.104111773433303,4.996535421414588,4.856192771497062,4.7366516385578805,4.7097910364581255,4.600919499849825,4.556715892182552,4.506569211622626,4.3023110879348465,3.9793977970491303,3.7443748479068537,3.6019063952669237,3.5296568233961754,3.5058557706775195,3.4927877823388775,3.491499159950397,3.438746901393303,3.3663305974457334,3.3019099857063754,3.2638681892116415,3.234537257759955,3.2166159106014813,3.2214852904957043
R7.0,7.902320197918316,6.774825048079965,6.235842651593914,5.792352971038957,5.5188122873275045,5.381030132764319,5.195751637265538,5.0293625006265446,4.968118892150707,4.840835488709674,4.78960259129447,4.738511514946348,4.507357252721784,4.172098843590955,3.9181554565359455,3.760236737627241,3.7021389558374365,3.675246294539334,3.6595367778216916,3.648722675096101,3.5892039918654604,3.511622341483645,3.432743557379009,3.403575949782514,3.375555481289913,3.354207290427848,3.364737077608671
R8.0,8.435148341876975,7.269209017470245,6.699710438022688,6.2272925820280935,5.919285768124266,5.750263169990506,5.51939834507783,5.314138047886974,5.21918959863892,5.077719727729943,5.01909065167627,4.9673132139623775,4.722545021222005,4.368816675845839,4.094796733244619,3.932439379434703,3.8721909498824703,3.842290030864717,3.8139003442628763,3.802361625360442,3.7396964573811244,3.65903706685903,3.5769373248605962,3.5475282683341582,3.5141674564934817,3.4935671576940557,3.5041725244618176
R9.0,8.956219161351953,7.749348744997942,7.149622267816759,6.64610554654835,6.307169707320462,6.110656526884778,5.836781515707894,5.59060936930546,5.467297760263477,5.3085789804834285,5.24475636645655,5.193831983643191,4.949453414400406,4.555656839708178,4.269306519577333,4.095599507128622,4.0387774824688325,4.004438813366003,3.9724356031179604,3.953169899809084,3.885184898140907,3.7996759308623327,3.711200748267978,3.6806817571528856,3.652885530799892,3.6284549793233025,3.639852966791282
R10.0,9.475472706505663,8.216949426736635,7.586863888141556,7.056236858795905,6.684965954235488,6.457084048848172,6.144544313282406,5.862069116290554,5.709502552764826,5.536042934254661,5.464564736529892,5.413069264840991,5.142744437807076,4.741941149684008,4.442170246859074,4.265901815545244,4.205708953581395,4.164904506859223,4.124408051190565,4.100197900395248,4.027261927405003,3.937739749479694,3.8491788521638606,3.8160930455933544,3.7863809265046116,3.7618815637138026,3.7736020669878814
R11.0,9.960181352738072,8.671456370981359,8.014279976155322,7.450089635577667,7.04481622063421,6.794317443842909,6.440436243993587,6.124322003365301,5.948309429967691,5.757821285483146,5.681770651265669,5.627103126543263,5.493179864804179,4.925181514160034,4.608284042668863,4.425080564909733,4.364536850738973,4.31897168047848,4.272289770883521,4.243653550225467,4.167101468846292,4.074564037146786,3.9831972059433682,3.947896464524555,3.9154264726984787,3.8915235121178733,3.902824331559525
R12.0,10.451108774505313,9.111186667697268,8.590295616344868,7.826734470289834,7.397963150155318,7.1173436081093495,6.72596208728524,6.382451113126466,6.179619035129346,5.976130745418439,5.892898889413495,5.835854899151491,5.546770131703733,5.107482922592133,4.774321822402225,4.586498696568148,4.5230328493162295,4.472202138036578,4.419682999450633,4.38482004353705,4.303639498780899,4.207014204819818,4.114022081192109,4.078318253652769,4.040860332581176,4.018712907508684,4.038812230672434
R13.0,10.918583593549595,9.536699928150696,8.821466746836972,8.197766944713608,7.732805181003462,7.426469176024128,7.0061628458615495,6.632594456940202,6.408186355121606,6.196581785496312,6.101281330178342,6.046756467470841,5.84956202081704,5.281900483240149,4.936651239278078,4.742979526694453,4.6758306453998415,4.6214434093721355,4.560482401633369,4.522389340053412,4.437774294636548,4.337341888676878,4.240264865100932,4.201312471574546,4.164705991962282,4.140337078756943,4.15162341245836
