,CR03,CR06,CR10,CR20,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR79,CR84,CR88,CR90,CR93
R4.0,6.299866128548212,4.831665049804848,4.264146640101201,4.215992885449225,4.188043977857031,4.155173644512002,4.113275118982989,3.9279307384312334,3.664256019863127,3.458972509114097,3.31336290865354,3.2567758996723533,3.2463993891212963,3.25153173175019,3.2628527167081782,3.219458178729949,3.153357760614485,3.083053390818547,3.057154500309472,3.009618228533539
R5.0,6.871076240762118,5.337395575388539,4.674654807742527,4.523305347998651,4.443809627977698,4.405444750196242,4.35818288862134,4.1554980209839405,3.86837484648122,3.646476831878494,3.495869538071945,3.4392344464894435,3.4239311607838063,3.421493267802357,3.426230110430425,3.3778382527893216,3.3081379951818555,3.234982758237729,3.2074793417691385,3.158705851545552
R6.0,7.429777515556937,5.829355432946812,5.07138149102668,4.822374460218015,4.689030404296029,4.643688822741758,4.594808427668042,4.379169132418482,4.068947064195741,3.8304713230906025,3.675072406455296,3.618102262974504,3.5980150708782617,3.5881495774576644,3.5863938526111068,3.5328770818212867,3.4595826242618157,3.383521106800141,3.3546584191203017,3.304567959184485
R7.0,7.975803513900942,6.30778428630398,5.455510728616416,5.114399670956857,4.929685729522214,4.87753831687728,4.827332358524499,4.598865881324134,4.2661259283626265,4.011531997766975,3.8508729408831983,3.793408319267736,3.768292174108531,3.7512556509198807,3.7432750663628944,3.684781593930012,3.608002677526376,3.52888557642572,3.498485163893305,3.4470427975157665
R8.0,8.508690043517749,6.772317339448057,5.82712017642268,5.399052724190941,5.165887091646645,5.106923593128474,5.055465900365561,4.814602269112477,4.459815436203123,4.189289509657378,4.023491747515232,3.964923665483726,3.935005446440601,3.9110505071710415,3.896931994433995,3.8337748794123474,3.7532449382749697,3.671178844884116,3.639112706541776,3.586160802536145
R9.0,9.029408219552709,7.223514190246048,6.18641309152448,5.676754056858246,5.397539277448651,5.33194057751714,5.27912668526082,5.026351782845597,4.650121359105081,4.363797277114347,4.19265765435642,4.133015855579685,4.09801830908184,4.067265259446713,4.047312475520878,3.979860845277828,3.8953682113647687,3.810403058969861,3.7766378731379326,3.722070404361826
R10.0,9.537773845898712,7.661416430928422,6.5334836037354505,5.947071712587022,5.624644096832126,5.55271918164846,5.498524152243832,5.234190180428266,4.8370175098801695,4.5353420169985945,4.35855644952176,4.297308008826693,4.257391346757678,4.220189242626017,4.19447960859075,4.122588799412847,4.034488765589279,3.9465668491371018,3.911062867622535,3.85472200000428
R11.0,10.03381193633646,8.086171822401123,6.868463204297104,6.210621896974931,5.847227965827988,5.7691526102975885,5.713608472805853,5.438020263888021,5.020525990033473,4.703566228267659,4.521163035760719,4.458191657962799,4.413189837007406,4.369542620986135,4.338376551649722,4.261952262586153,4.170349582290689,4.079580352431794,4.042351535967878,3.9841603674024446
R12.0,10.51748591902154,8.498437042596127,7.191749886986001,6.466914754100267,6.065309399831559,5.981226385188151,5.924251835350226,5.637892082688683,5.200605930973223,4.868634642010634,4.680368119017983,4.615268246828588,4.565257353045975,4.515612524579618,4.479070462307032,4.398426907273096,4.303199279427286,4.209271041239472,4.170485966307689,4.110354343812649
R13.0,10.989693635445567,8.898217565754681,7.503614999214845,6.71674629701698,6.278952981977014,6.188983123595217,6.130535345987229,5.833828642563063,5.377330644495906,5.030743944079905,4.836388851214782,4.768889549235022,4.71385855832223,4.658120275764627,4.616512216626393,4.532021873430279,4.432920640267669,4.335910869131295,4.295319496400838,4.233353972282515
R14.0,11.45076709256382,9.286362689585385,7.804550176125307,6.959284053990967,6.48821120492406,6.39225025907805,6.332534200141984,6.025841988629511,5.550627328996285,5.189232173461013,4.988994700222911,4.918834504589449,4.858670019777683,4.797373680720073,4.750772377186436,4.662536268523938,4.559538740650407,4.459530563867405,4.417022141791982,4.3529334859083
R15.0,11.900579931532452,9.663296515859544,8.095086334471539,7.195362517126288,6.693076410397513,6.591309915039542,6.5303294598943005,6.213992776938033,5.720616182156157,5.345227404617932,5.138448591430535,5.065236413779478,5.000099659714394,4.933077628593086,4.881803788071753,4.789743142121199,4.683208595598119,4.580110563171406,4.535621931992035,4.469344814347201
R16.0,12.339547630783848,10.029511281942437,8.375830485617506,7.425309899015964,6.893700350554396,6.786265886839002,6.723758929498567,6.398216019781662,5.887223495273972,5.497429453217588,5.284521670604098,5.20816662680474,5.137728039309859,5.065562813891988,5.009656629084258,4.913862850704994,4.803707223238969,4.6976652380419175,4.651198213979175,4.582641277956134
R17.0,12.768628006675184,10.386355179921836,8.647102180940959,7.649301789215812,7.090033893859647,6.976989853602012,6.912989319391972,6.578556921763445,6.050522880908764,5.647120166958154,5.427479624723352,5.347408762452357,5.272020676059993,5.194538718361256,5.134338675908918,5.0351516473349935,4.921257581657292,4.811949583464813,4.763770547147729,4.692846206170701
R18.0,13.188446500407798,10.734314315478754,8.91049376642956,7.86687926676082,7.282141924290303,7.163535710697543,7.098135416478548,6.75506318861539,6.2105253303113725,5.793333427298569,5.567088604249312,5.483339370944371,5.402556259024038,5.3203304640447495,5.255861558354338,5.153628838377074,5.035802032859175,4.923159435504223,4.87329563300233,4.799968180606408
R19.0,13.599559317810373,11.07453672151345,9.165970923858392,8.07866958006026,7.4701032459946575,7.345969972638509,7.279016168382791,6.927777652056247,6.367197104049895,5.936579450858222,5.703558767674208,5.615573961245298,5.529825785533939,5.442650212218849,5.374279139557524,5.268916615430724,5.147324092385663,5.031446979542548,4.979656715251005,4.9039900832031424
R20.0,14.00234966672298,11.408303669998434,9.4151721528699,8.285310820608954,7.6540268828647875,7.524267792585363,7.455801754990147,7.09675660628531,6.520685233367685,6.076903881467851,5.83684015776794,5.744536094360109,5.653394679072255,5.561615139826653,5.48958150592214,5.381016334256028,5.255997816539592,5.136835318490485,5.083054099903698,5.004907104701375
R21.0,14.398027566508704,11.734707323389172,9.6588663370041,8.487095986962693,7.834081913284877,7.698724498615824,7.62864672968889,7.261985956721979,6.670878739697956,6.214000586545421,5.966910008003344,5.869881314009865,5.773737073851053,5.67715922385244,5.601847282819332,5.490334063883542,5.361657181993563,5.239356270279117,5.183559813636117,5.102607913074719
R22.0,14.787420650756191,12.055797514865557,9.898342307087306,8.684041671230649,8.009872767012387,7.86944592280403,7.797390942410282,7.423491602163303,6.817986681436828,6.348356877741367,6.093959590527895,5.992007729305334,5.890498285862286,5.789623724594618,5.711062301023079,5.596942708568536,5.464483478611983,5.338980391924009,5.281153855574734,5.197390059100767
R23.0,15.170228195385436,12.372437548413084,10.134407916123257,8.876331348861363,8.181661759864348,8.036309601116695,7.962212074010422,7.581366424080565,6.961854063035848,6.479671573956443,6.21781919123751,6.110679117564371,6.004044828786997,5.898755002278213,5.817302639291043,5.700726650396797,5.5644780417373205,5.435574111172728,5.375937608461821,5.2893032454267175
R24.0,15.54651743237694,12.684719586277977,10.36787941467421,9.064989002383296,8.350003283982014,8.199486761106712,8.123228495186062,7.735674311689459,7.102681434030352,6.607946715669495,6.338759091052127,6.226084201353608,6.114189936223935,6.004887805379875,5.920570426311752,5.80146296530214,5.661606440254948,5.5293915221201,5.467877483879098,5.378390328411864
R25.0,15.917118995845218,12.99297975954506,10.598507951981276,9.250458905666603,8.514819046180541,8.359067553954816,8.280565420874357,7.88649341949362,7.240408158741703,6.733640733342067,6.45658071750011,6.338305015708761,6.221082699569096,6.107776660662594,6.020952839423019,5.899340328060428,5.756066813690183,5.620508639542001,5.55689826016031,5.464703001454161
R26.0,16.281641177937313,13.29746684511945,10.826595189574954,9.433295034186012,8.676516418237966,8.5151348832696,8.434171723594229,8.033853383269939,7.375179526964841,6.85620796747885,6.571579304120984,6.44714704713458,6.324773486885867,6.20775805324153,6.118457384038491,5.994664677390221,5.8477277147832165,5.708971652462219,5.643205899917681,5.548301200779871
R27.0,16.64017062120007,13.598233496166102,11.052118883540338,9.613515100065204,8.835206227029461,8.668016489400271,8.584119421798654,8.177781062383119,7.506970436697003,6.976291197538132,6.683589139545864,6.55301463326092,6.425264745316115,6.304617580941425,6.2131844836036585,6.087473525919288,5.936766361121581,5.794810050988694,5.726917879102697,5.629040658385112
R28.0,16.993468760987284,13.895580054587242,11.275562434946435,9.792128430185254,8.991099317692,8.81788215696063,8.730771148597348,8.31839339549811,7.635886307724909,7.093604889907149,6.792474448238565,6.655628678188809,6.5227595865251535,6.3986858876270425,6.305135310296475,6.177520542884951,6.023237158658031,5.877918647335152,5.8080918437673255,5.707132620069681
R29.0,17.341249866464473,14.189874638105607,11.496851400606282,9.969765813573398,9.14448479398608,8.964655823978616,8.873992793827458,8.455820084372219,7.761964098325654,7.20798352960348,6.899199952432502,6.755399923816336,6.617124893672759,6.489764731992453,6.394431173145655,6.264796448301304,6.107109740743492,5.958395037429623,5.886789000529896,5.782669584191523
R30.0,17.683637202947025,14.480852239679866,11.716109230453192,10.146235742043745,9.295552547358335,9.108594755066548,9.01398525667011,8.590121646864581,7.885334859462622,7.320082630112935,7.002887953763453,6.852082045842517,6.708574892004116,6.578173294269391,6.481089851881022,6.349666370472269,6.188606311144329,6.036469759580074,5.963014568735064,5.8555792286158574
R31.0,18.023174841667917,14.770957571772788,11.933770298835116,10.321509073436772,9.444572821601804,9.249856779501483,9.15104620762798,8.721420303009808,8.005984132988921,7.4295510853085425,7.103813200082172,6.945576806485578,6.7970273441594085,6.66374427899601,6.565206532589267,6.432259699400179,6.267646305026288,6.11221366692868,6.036806417682849,5.926238850053591
R32.0,18.363138378500786,15.06399426773848,12.15034734212822,10.495468297266424,9.591841311474736,9.388629719955269,9.28498594348662,8.84970068367793,8.124097002018193,7.536263487177202,7.202297937863841,7.037080565750218,6.8827996961911655,6.746812334165389,6.646873150728608,6.512549091106596,6.34437740619526,6.185697314268346,6.108342811947511,5.995079869777413
R33.0,18.7036537827016,15.360353492152502,12.3698835342574,10.66835469440494,9.737755879930608,9.525298917361756,9.416159948016354,8.975177828211494,8.239613502232366,7.640984464890062,7.298491158286849,7.125339819826559,6.966154254915839,6.827220307210453,6.7261368361718805,6.590375957612129,6.418911538645999,6.256971889848849,6.177718392944294,6.061188738346936
R34.0,19.04495403835784,15.660422963386004,12.593985146457412,10.840128261326058,9.882313478424413,9.660064118673995,9.54478301869711,9.097977544956024,8.352813563410372,7.7433898338557,7.392178663960979,7.210904371114399,7.046834633194667,6.905285439976606,6.803137034992395,6.665927057211676,6.491252930350922,6.326052972981326,6.245046890652896,6.125708827665147
R35.0,19.386698130494416,15.96404450020038,12.82266490933172,11.010797573862504,10.026266693974918,9.793002638838567,9.670906543973748,9.21824292328265,8.463618873717998,7.842960128627826,7.483282915455577,7.294321716833853,7.124626142063979,6.980897822527658,6.877922467173174,6.739510773562628,6.5616135180195005,6.393150551507503,6.310420396069011,6.188015344456053
R36.0,,16.27152484057151,13.056290705443104,11.180368672970864,10.169449747188738,9.924422859309129,9.794653778444628,9.335864094049702,8.572284065645444,7.940786197315225,7.5725332697585745,7.375328886680066,7.2002758004516565,7.0543602983456015,6.950637635982855,6.811200034242895,6.63000100522451,6.458376308683633,6.373855589291662,6.2485561256569815
R37.0,,16.582470909582863,13.2945095780582,11.34968236612763,10.311897816743524,10.05454461278898,9.916533021836123,9.451374121728314,8.678800698969894,8.036982823174256,7.659609474718293,7.45374517046165,7.273930295485378,7.125597391843594,7.021075536630065,6.880886674279186,6.696561654154861,6.52182586722426,6.435554906958755,6.30745201999897
R38.0,,,13.53802455883952,11.521814610150308,10.453690649605122,10.18367784034841,10.03648906136789,9.5647207905081,8.78336386498738,8.131193896134958,7.744595417644613,7.530140977429787,7.345223683446804,7.19489340224462,7.090079580296456,6.9486434135999815,6.76142238608209,6.583603043367564,6.495675691104465,6.364683746568385
R39.0,,,13.785869418310517,11.698879308659318,10.594790084110066,10.311811489302231,10.154800803715874,9.67603277875198,8.885913536198645,8.223270688341845,7.827764313913253,7.604757768744438,7.414292241034888,7.262212840984133,7.1572814208443845,7.014769625549747,6.824648038186084,6.643804673961123,6.554345722186994,6.42051490999992
R40.0,,,,11.880507974778226,10.73508340248882,10.438843920143654,10.271699676694578,9.78549668394476,8.986907820124038,8.31400167267234,7.909395012763351,7.677220622082856,7.481734788136728,7.327948747428609,7.222582157234953,7.079412071900947,6.886427512940394,6.702548788038277,6.611683698953704,6.4751133504126575
R41.0,,,,12.066792022094816,10.875944289025686,10.56532722199249,10.387249528071449,9.893437218543,9.086329621573814,8.403528637289238,7.989160747212767,7.7477646393555535,7.547591137498928,7.391680343954652,7.286550687045709,7.142624206011046,6.946853519641515,6.759991542747979,6.6677776601202,6.528436130692185
