,CR03,CR05,CR06,CR08,CR09,CR10,CR15,CR20,CR25,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR79,CR84,CR88,CR90,CR91,CR93,CR94
R4.0,6.301635003125718,5.292034528063189,4.834990004948894,4.487574482051114,4.314773117989092,4.266693002951959,4.226988127999401,4.215174316105992,4.2558711800708355,4.188851357959092,4.156969703591786,4.114569288484013,3.928363837915496,3.66411140173556,3.459689141328204,3.314268840706914,3.2581383523076646,3.2469631355959567,3.2520079755503515,3.263963153659281,3.2205167231828664,3.153574037869769,3.083224794310688,3.0579268313505596,3.0316520934258455,3.0104586800961353,3.01798566321243
R5.0,6.872670920452453,5.826140473520757,5.340965431033792,4.963496115593971,4.756318407075023,4.67690609875118,4.594324301442565,4.523257607581705,4.534228756220093,4.444168107869196,4.407190880123578,4.359601220609299,4.155934335353805,3.8679729421787172,3.64721613884716,3.497079381736256,3.4407047960304418,3.4245525770521863,3.4217564932036018,3.4272178582485564,3.378953338304709,3.308569851423149,3.2352105717407276,3.208505321963151,3.1811390100263672,3.159701216184449,3.167920920178785
R6.0,7.43144924186339,6.3469889549636065,5.8333703828849455,5.425633646452351,5.184618342307866,5.07409951658726,4.9422147010294175,4.822575948764661,4.797242773531966,4.6895342411434235,4.645758596703791,4.596716719836456,4.379811583132132,4.068514061378646,3.8313728841112784,3.6762703124701903,3.6199174959590588,3.598945217802057,3.58861394388241,3.587680354698231,3.5340741235576223,3.4598196167043835,3.383934482879738,3.3558558669823,3.3274617954171246,3.3057709538868023,3.3145411551341084
R7.0,7.977382359037545,6.853380954655093,6.312533021375254,5.873878145612711,5.5997180061931555,5.458664621024564,5.2795746894266085,5.114902125679709,5.0550617082528,4.930301809976404,4.87987323638078,4.8295921750638655,4.5997429145164865,4.265597705898481,4.012564738613415,3.8524399038839685,3.7952779244090618,3.769223938201751,3.7514210268421877,3.744662547723184,3.686308915506512,3.6080412299379327,3.529297454716363,3.4997872922868325,3.4703904005892596,3.4484471150699143,3.4577965793916237
R8.0,8.51068502277306,7.3463765568979,6.776672925291928,6.308545045711648,6.001372423961762,5.830832865270454,5.606842784339904,5.399851192243851,5.30774481612169,5.166516725114436,5.1095321914492295,5.058129076587729,4.815736334930756,4.4594858749112465,4.190399734523101,4.025066126241633,3.9671978794047567,3.936228692022226,3.911379752061798,3.898490133225494,3.835630128705849,3.753405648947183,3.6715882200000656,3.640622380477261,3.6100662291350285,3.587706440252309,3.5975394460937773
R9.0,9.031777524467913,7.826824751934916,7.227995452125134,6.728841592710292,6.38988036862497,6.19063530742109,5.923952618361888,5.677807175560341,5.555750419871092,5.398209831360056,5.334744078802265,5.282212402730941,5.027749899569846,4.6498046878859665,4.364935310652624,4.194443562910118,4.135429665261862,4.099280091652647,4.067251572187821,4.049064367002055,3.9820169977130515,3.8959640774702358,3.8108123442055954,3.7783443234560394,3.7465907904899076,3.7237559089204257,3.7339744584128294
R10.0,9.540825427629255,8.293395479936894,7.665851349317041,7.135545837182535,6.765612607828309,6.538496162742409,6.230620926328981,5.948457293293909,5.7979036457653566,5.6253239667206945,5.555744507031623,5.501965384823062,5.235622069543142,4.8367886231050194,4.536601567061382,4.360559877524738,4.299994043772095,4.258982151563517,4.220292967045048,4.196273659888755,4.124477609179797,4.03518337249005,3.946966664476146,3.9129562107687477,3.8799681804596093,3.856577620387731,3.8671429000864705
R11.0,10.038487162049087,8.747063962916345,8.089985144820625,7.529239895216124,7.12870029144544,6.8741518472075605,6.527377865333959,6.212364882922114,6.03541818146225,5.84789252794153,5.772324410938244,5.717438441932577,5.439738248592024,5.020186372414326,4.704785764809097,4.523160056303532,4.461086639058154,4.414816381704613,4.369304731573772,4.340447910760988,4.264127606865627,4.170893982988125,4.0802190613987275,4.044465320395523,4.010160293441464,3.986140566265412,3.9968205435328694
R12.0,10.523312422977545,9.188517716928413,8.501397083517569,7.910258122102904,7.478527240184593,7.198039182038526,6.814540840190772,6.468943489361781,6.268104492872638,6.065925693306674,5.984431403936785,5.928400918545762,5.639776394769445,5.200462622710553,4.870009373627277,4.682540022295704,4.618216206927551,4.567219886257302,4.515540686781016,4.481053622104521,4.4008764828775195,4.3035575395531165,4.209944188042192,4.172713348547063,4.13719281185246,4.112423745098833,4.123138382655531
R13.0,10.996234624180868,9.617899443638827,8.900892754366204,8.278422952770935,7.816274315616784,7.510304907881714,7.091795050051553,6.719162437153039,6.495333066728416,6.279495453860871,6.192195823596081,6.135134211325818,5.8361100234201295,5.3772197648592766,5.0321125493296535,4.838688585330418,4.7721172271744905,4.715868455987654,4.657820322632155,4.618868329233361,4.5347338212798505,4.433387152790152,4.3365674335119575,4.297608510382539,4.260927015995753,4.235556232348573,4.246190422825773
R14.0,11.457622811013499,10.034619291475195,9.288527889426891,8.635076581784134,8.142318795052507,7.8118084747221,7.359554588581782,6.961924520465594,6.717812524768981,6.488670813311961,6.395554715651579,6.3376696850551895,6.028329688971128,5.550794999843163,5.190673547615866,4.991258881688607,4.921993275398992,4.861012631412061,4.797188368820914,4.7528969383933894,4.665288989890521,4.560267056391281,4.460171468318608,4.4194376450955,4.381339094949359,4.355292273698886,4.365996593086629
R15.0,11.908154790666572,10.440711088722683,9.664405624652195,8.979924463021412,8.458048523579913,8.102915072761636,7.61937902768283,7.198445216227888,6.9354503741435245,6.693413650757909,6.594646412441548,6.535821531573266,6.216554637337143,5.720691841308099,5.346691967979856,5.140963981020879,5.068690575108159,5.002553405453126,4.93267314074938,4.88458898907075,4.792410149740401,4.684192859840984,4.5807634222475375,4.538174054169219,4.498665919782361,4.471780780794475,4.482329181628042
R16.0,12.347210001457768,10.836563529375258,10.030341286005315,9.315288994567371,8.762749007865915,8.383675694758823,7.869363464576858,7.428725001893639,7.148320154372973,6.893854492682868,6.789645071120782,6.729618047891122,6.401074553162015,5.887483167688092,5.498861925402345,5.286924680198094,5.2115249099336705,5.140395349878295,5.065166636805921,5.011958923640085,4.916752113823349,4.804618501263324,4.698363470979039,4.653876425617522,4.6129316505128575,4.585147945261907,4.5954429164227175
R17.0,12.777233179020858,11.222871633034064,10.386235050621064,9.640546710742463,9.058485029256433,8.65446361649802,8.111817143667805,7.653139986994795,7.356557241293971,7.090047209283123,6.980315578204713,6.919176790250362,6.581640505692026,6.050798399201405,5.648673795139821,5.429985774709122,5.3510425306646106,5.27483295924106,5.193803440734868,5.137034378743747,5.038257179625408,4.921901652686676,4.812872758015222,4.766568670122637,4.724148619084932,4.695415735306451,4.705401434732953
R18.0,13.197459375376422,11.598091252446276,10.733024230374253,9.956723095900488,9.345663090960048,8.91770497360524,8.346247066693842,7.870902336999139,7.560261255160424,7.28197657219748,7.166799418932222,7.104872798281429,6.758487637938645,6.21112944453774,5.794783227718682,5.569631868243272,5.487132023817191,5.4055741473638115,5.319507997190106,5.258359640512449,5.156991551214749,5.036477281232883,4.924626936495601,4.876138862193907,4.832343702403065,4.802613756148771,4.812050365125428
R19.0,13.608473016347286,11.96669551329892,11.07224876108736,10.265997789394813,9.624757672923572,9.17243628815566,8.573738038206942,8.083114676666373,7.759468416955618,7.469762567184319,7.349217077515846,7.285647816001191,6.931483966700686,6.367921453583585,5.938124491171088,5.706031170823666,5.619954305665699,5.533055422601496,5.441518680262159,5.377038954817431,5.271961924549419,5.148247462711462,5.032318400132946,4.98254995564065,4.937531237447665,4.906706072100633,4.915457011488009
R20.0,14.012265320563749,12.328027706168632,11.405202053585327,10.568245511837777,9.89784728290947,9.421491502786633,8.794690900602795,8.290143819766438,7.954286601719458,7.65346815353914,7.5274226527466,7.4624564968833464,7.100571556822776,6.521507537813213,6.078331181815832,5.839630972448706,5.748285684916552,5.6567578058654915,5.560583161693657,5.492250457640433,5.384194177286901,5.257171886676075,5.137682614138457,5.086037001976052,5.039450430735837,5.008094374065401,5.015816614852655
