,CR02,CR03,CR05,CR07,CR08,CR10,CR16,CR21,CR26,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR80,CR84,CR88,CR90,CR92,CR94,CR95
R4.0,6.366684834632322,5.892609973188975,5.352530688754434,4.97359447601753,4.646953269193283,4.404440160916247,4.0517058938103085,3.7201586884050974,3.4199298966103564,3.2725483001183786,3.2274743378517314,3.197762473011441,3.202395636903504,3.1721841297769204,3.1300975713133408,3.115308192313339,3.093579160611469,3.091827477246424,3.0684656314227734,3.0328584430760994,2.987050146606637,2.9276627608533583,2.866314621790248,2.873884555555237,2.8455622906152014,2.8356819132140902,2.779223130648385
R5.0,6.959546235226705,6.459577251581816,5.898316491516654,5.496480449908168,5.147286937083525,4.879413712767671,4.46395637594938,4.072309278940651,3.7146213701549655,3.526842824252352,3.4593601682432014,3.416947619479624,3.4150621068179894,3.375437236320954,3.32365186865149,3.2976524420077817,3.2662476645018046,3.25891192384868,3.233341477592849,3.1940896605074816,3.142223368621508,3.077822717906547,3.010448253922748,3.014518223798153,2.985420972838936,2.9714769089676194,2.913431132826805
R6.0,7.537565201527965,7.011008433741968,6.429382560035242,6.00373541008503,5.629693943283383,5.337963831732833,4.864404670247678,4.41419979263477,4.001532306131588,3.7760674144763553,3.686385451077647,3.6317926393905857,3.6232543248087294,3.5772709568463643,3.513534017798027,3.4759676752121464,3.436019790259285,3.4219642815317592,3.392977941735692,3.350877437766467,3.2960726106224896,3.225635853806959,3.151777744000658,3.153729976677628,3.121749538405209,3.105033928483947,3.0440568027278334
R7.0,8.100289270468394,7.546610791950559,6.944062993418811,6.492951237302205,6.097205004063476,5.779999075943376,5.250484780095554,4.748223670426398,4.283245168532725,4.020694147476687,3.909662017941651,3.8429570580251458,3.828458754179457,3.7737212413010894,3.701872046776823,3.65027256152678,3.601962967394101,3.5824690569437885,3.550529036460547,3.505571749082153,3.445023315523479,3.369737273340263,3.290295308552296,3.289350447797404,3.2563550480072667,3.2357224288065214,3.1741634872273803
R8.0,8.648925400398682,8.067712967299492,7.444544094684967,6.966493847428824,6.54813707514474,6.207730416838054,5.625083764021539,5.072498734013188,4.557677674382683,4.259543850646369,4.130015376182749,4.049730019728751,4.029311402386067,3.967465038402704,3.8835811448827977,3.821919959585777,3.76372167342762,3.739657750224809,3.7041228165102495,3.656542595239271,3.592976968790179,3.510342712822769,3.425854539355929,3.4224748847375355,3.386842805556398,3.36471207802027,3.301457373365335
R9.0,9.180875182996257,8.573005066710085,7.927681848157968,7.424695684698732,6.982302780208263,6.620335047506535,5.98784150673672,5.389856329334608,4.825735054746769,4.493320545664362,4.3440652757945415,4.2533336564122965,4.2275222179053085,4.156559022267155,4.06382256558569,3.989811097796874,3.923152152285668,3.8922131922711487,3.8542512606388817,3.804470181730077,3.735237022391976,3.647925595390138,3.5578539463522647,3.5516709351026496,3.514614253319576,3.4897473533421026,3.426724123697447
R10.0,9.698826866419338,9.06366910549991,8.39683637833069,7.866983703195768,7.401040330655231,7.017391388286286,6.3380014352758565,5.696884293406037,5.087565707802374,4.722410950674433,4.555351930606166,4.452504811073694,4.420774970446755,4.3424149591555405,4.240179607319487,4.1538559454970665,4.078323602586794,4.041878552757673,4.001342157119515,3.948326473880786,3.876312061818893,3.782935401758487,3.688718457184609,3.678698428101432,3.640047367644531,3.612329412568912,3.5491786369275493
R11.0,10.202617971841626,9.539044408443273,8.850088007349086,8.293046937059106,7.80387419134137,7.399968812046987,6.676741070552378,5.996207903393654,5.343280646315869,4.945649957369046,4.76075424051825,4.647195557418213,4.610633642156621,4.525172178151385,4.412540551140369,4.315729136044329,4.231117185106235,4.187910327512878,4.1447370397005,4.089718023871355,4.012967768430912,3.915005198743227,3.81467889176185,3.802714497314231,3.7623070783905055,3.733434707645396,3.670390253734311
R12.0,10.69139175984366,10.000479157177216,9.2901442030008,8.704838865446222,8.193540016307782,7.767318507637481,7.003760719910998,6.284594994351987,5.592349034188108,5.1655169897427005,4.962748568063051,4.8389956518102295,4.796986937214745,4.703227112431314,4.581307846057246,4.472112386395031,4.379398607020104,4.331048309865652,4.283585674929669,4.226216041892046,4.146257134589641,4.043673690577501,3.938673418636225,3.923528897064672,3.882010082465419,3.851212197633477,3.788437907212296
R13.0,11.165839108042016,10.448439329233686,9.715272040733304,9.101276687224509,8.565157635937798,8.12088552902124,7.319653904671362,6.565493700575879,5.8342788961544745,5.37901276757824,5.1602019562934665,5.026153464373812,4.97932864934946,4.878514086565829,4.746411799558514,4.627268196432837,4.524084123540225,4.470237516675066,4.4209808874010665,4.361241477074655,4.276747031010816,4.170344747323585,4.060245922954558,4.042109610375992,3.999284805208016,3.964947814151577,3.9040191358147194
R14.0,11.626472828232988,10.882185904483462,10.125952833403918,9.483880113381725,8.924353917852134,8.46135258677071,7.623394847224743,6.836369326054223,6.070660321432434,5.588286310265046,5.353431040343588,5.2091068176563855,5.157953943010528,5.049211856799629,4.908477904626153,4.776899054425034,4.666087525295073,4.605548729644951,4.5534837154211125,4.492705072548322,4.403965958598069,4.291651839920759,4.1773207386564,4.1573038443408254,4.1122222626015965,4.077963874860594,4.016961734880158
