radius;section;value
4.0;CR03;6.227550293737343
5.0;CR03;6.798516387766578
6.0;CR03;7.363411049154805
7.0;CR03;7.902320197918316
8.0;CR03;8.435148341876975
9.0;CR03;8.956219161351953
10.0;CR03;9.475472706505665
11.0;CR03;9.960181352738072
12.0;CR03;10.451108774505313
13.0;CR03;10.918583593549595
14.0;CR03;11.379154165845334
15.0;CR03;11.82997362255275
16.0;CR03;12.26901103758474
17.0;CR03;12.697229177145488
18.0;CR03;13.126388726396856
19.0;CR03;13.532278172581629
20.0;CR03;13.936037364519107
21.0;CR03;14.326581091489862
22.0;CR03;14.714100293718566
23.0;CR03;15.101447964756012
24.0;CR03;15.481599141098808
25.0;CR03;15.845396696763933
26.0;CR03;16.210677639745207
27.0;CR03;16.5674902195449
28.0;CR03;17.001746768279073
29.0;CR03;17.271546023742893
30.0;CR03;17.61568882776313
31.0;CR03;17.955262980509975
32.0;CR03;18.29872856017333
33.0;CR03;18.63770755350617
34.0;CR03;18.98186645351423
35.0;CR03;19.322741007225687
36.0;CR03;19.66655744031933
37.0;CR03;20.01074164329549
38.0;CR03;20.357776351608827
39.0;CR03;20.70442000310998
40.0;CR03;21.049025022150264
41.0;CR03;21.400376025562625
42.0;CR03;21.75273018226701
43.0;CR03;22.1133243267484
44.0;CR03;22.47802186800777
45.0;CR03;22.85221879242285
46.0;CR03;23.23074344302477
47.0;CR03;23.6181867815158
48.0;CR03;24.01428033759114
49.0;CR03;24.415295559376585
50.0;CR03;24.825574660618585
51.0;CR03;25.24155121327357
52.0;CR03;
53.0;CR03;
54.0;CR03;
55.0;CR03;
56.0;CR03;
57.0;CR03;
58.0;CR03;
59.0;CR03;
60.0;CR03;
61.0;CR03;
62.0;CR03;
63.0;CR03;
64.0;CR03;
65.0;CR03;
66.0;CR03;
67.0;CR03;
68.0;CR03;
69.0;CR03;
70.0;CR03;
71.0;CR03;
72.0;CR03;
73.0;CR03;
74.0;CR03;
75.0;CR03;
76.0;CR03;
77.0;CR03;
78.0;CR03;
79.0;CR03;
80.0;CR03;
4.0;CR05;5.215334394011585
5.0;CR05;5.753234839274764
6.0;CR05;6.269551485266096
7.0;CR05;6.774825048079965
8.0;CR05;7.269209017470245
9.0;CR05;7.749348744997942
10.0;CR05;8.216949426736635
11.0;CR05;8.671456370981359
12.0;CR05;9.111186667697268
13.0;CR05;9.536699928150696
14.0;CR05;9.962571462688055
15.0;CR05;10.359434990616617
16.0;CR05;10.76057605768341
17.0;CR05;11.13496114281586
18.0;CR05;11.513721400856593
19.0;CR05;11.880259578579498
20.0;CR05;12.241581649523877
21.0;CR05;12.59839294800588
22.0;CR05;12.946344052413648
23.0;CR05;13.29351747917761
24.0;CR05;13.628851795658829
25.0;CR05;13.964238757645507
26.0;CR05;14.293370233063923
27.0;CR05;14.617434587108567
28.0;CR05;14.941222344953951
29.0;CR05;15.258731937167246
30.0;CR05;15.57273689264063
31.0;CR05;15.89030410410217
32.0;CR05;16.204212769121558
33.0;CR05;16.522443454187986
34.0;CR05;16.841528208578694
35.0;CR05;17.16411206578763
36.0;CR05;17.492096658629386
37.0;CR05;17.819973879940108
38.0;CR05;18.151373121849915
39.0;CR05;18.484931411635884
40.0;CR05;18.81912154720637
41.0;CR05;19.16161673534199
42.0;CR05;19.501753003415697
43.0;CR05;19.84838324187986
44.0;CR05;20.20044601876509
45.0;CR05;20.56276087905845
46.0;CR05;20.9303327693706
47.0;CR05;21.308078742483083
48.0;CR05;21.69229443636985
49.0;CR05;22.085900941890785
50.0;CR05;
51.0;CR05;
52.0;CR05;
53.0;CR05;
54.0;CR05;
55.0;CR05;
56.0;CR05;
57.0;CR05;
58.0;CR05;
59.0;CR05;
60.0;CR05;
61.0;CR05;
62.0;CR05;
63.0;CR05;
64.0;CR05;
65.0;CR05;
66.0;CR05;
67.0;CR05;
68.0;CR05;
69.0;CR05;
70.0;CR05;
71.0;CR05;
72.0;CR05;
73.0;CR05;
74.0;CR05;
75.0;CR05;
76.0;CR05;
77.0;CR05;
78.0;CR05;
79.0;CR05;
80.0;CR05;
4.0;CR06;4.759363851405995
5.0;CR06;5.2680850609217895
6.0;CR06;5.756698620592907
7.0;CR06;6.235842651593914
8.0;CR06;6.699710438022688
9.0;CR06;7.149622267816759
10.0;CR06;7.586863888141556
11.0;CR06;8.014279976155322
12.0;CR06;8.590295616344868
13.0;CR06;8.821466746836972
14.0;CR06;9.21201155620184
15.0;CR06;9.583260807130356
16.0;CR06;9.9497751981613
17.0;CR06;10.303228672305956
18.0;CR06;10.64938502734471
19.0;CR06;10.98821015527281
20.0;CR06;11.32036954806162
21.0;CR06;11.64750479420626
22.0;CR06;11.970274133869475
23.0;CR06;12.289102894860983
24.0;CR06;12.616594669111969
25.0;CR06;12.911942694151303
26.0;CR06;13.217574463530076
27.0;CR06;13.519543151017745
28.0;CR06;13.81757519643369
29.0;CR06;14.11264238182035
30.0;CR06;14.404758005233422
31.0;CR06;14.697923622070586
32.0;CR06;14.992743698613882
33.0;CR06;15.291512584679596
34.0;CR06;15.592036880291085
35.0;CR06;15.897032395223404
36.0;CR06;16.20570489722708
37.0;CR06;16.519065274985365
38.0;CR06;16.834329173921954
39.0;CR06;17.153611785143422
40.0;CR06;17.47678661020803
41.0;CR06;17.80504800609844
42.0;CR06;18.13515528034479
43.0;CR06;18.468407513929733
44.0;CR06;18.80596546387705
45.0;CR06;19.151733903305647
46.0;CR06;19.50025437800093
47.0;CR06;19.86111369449505
48.0;CR06;
49.0;CR06;
50.0;CR06;
51.0;CR06;
52.0;CR06;
53.0;CR06;
54.0;CR06;
55.0;CR06;
56.0;CR06;
57.0;CR06;
58.0;CR06;
59.0;CR06;
60.0;CR06;
61.0;CR06;
62.0;CR06;
63.0;CR06;
64.0;CR06;
65.0;CR06;
66.0;CR06;
67.0;CR06;
68.0;CR06;
69.0;CR06;
70.0;CR06;
71.0;CR06;
72.0;CR06;
73.0;CR06;
74.0;CR06;
75.0;CR06;
76.0;CR06;
77.0;CR06;
78.0;CR06;
79.0;CR06;
80.0;CR06;
4.0;CR08;4.411194977677512
5.0;CR08;4.887065377062585
6.0;CR08;5.346072228501932
7.0;CR08;5.792352971038957
8.0;CR08;6.2272925820280935
9.0;CR08;6.64610554654835
10.0;CR08;7.056236858795905
11.0;CR08;7.450089635577667
12.0;CR08;7.826734470289834
13.0;CR08;8.197766944713608
