radius;section;value
4.0;CR03;6.299866128548212
5.0;CR03;6.871076240762118
6.0;CR03;7.429777515556937
7.0;CR03;7.975803513900942
8.0;CR03;8.508690043517749
9.0;CR03;9.029408219552709
10.0;CR03;9.537773845898712
11.0;CR03;10.03381193633646
12.0;CR03;10.51748591902154
13.0;CR03;10.989693635445567
14.0;CR03;11.45076709256382
15.0;CR03;11.900579931532452
16.0;CR03;12.339547630783848
17.0;CR03;12.768628006675184
18.0;CR03;13.188446500407798
19.0;CR03;13.599559317810373
20.0;CR03;14.00234966672298
21.0;CR03;14.398027566508704
22.0;CR03;14.787420650756191
23.0;CR03;15.170228195385436
24.0;CR03;15.54651743237694
25.0;CR03;15.917118995845218
26.0;CR03;16.281641177937313
27.0;CR03;16.64017062120007
28.0;CR03;16.993468760987284
29.0;CR03;17.341249866464473
30.0;CR03;17.683637202947025
31.0;CR03;18.02317484166792
32.0;CR03;18.363138378500786
33.0;CR03;18.7036537827016
34.0;CR03;19.04495403835784
35.0;CR03;19.386698130494416
36.0;CR03;
37.0;CR03;
38.0;CR03;
39.0;CR03;
40.0;CR03;
41.0;CR03;
42.0;CR03;
43.0;CR03;
44.0;CR03;
45.0;CR03;
46.0;CR03;
47.0;CR03;
48.0;CR03;
49.0;CR03;
50.0;CR03;
51.0;CR03;
52.0;CR03;
53.0;CR03;
54.0;CR03;
55.0;CR03;
56.0;CR03;
57.0;CR03;
58.0;CR03;
59.0;CR03;
60.0;CR03;
61.0;CR03;
62.0;CR03;
63.0;CR03;
64.0;CR03;
65.0;CR03;
66.0;CR03;
67.0;CR03;
68.0;CR03;
69.0;CR03;
70.0;CR03;
71.0;CR03;
72.0;CR03;
73.0;CR03;
74.0;CR03;
75.0;CR03;
76.0;CR03;
77.0;CR03;
78.0;CR03;
79.0;CR03;
80.0;CR03;
81.0;CR03;
82.0;CR03;
83.0;CR03;
84.0;CR03;
85.0;CR03;
86.0;CR03;
87.0;CR03;
88.0;CR03;
89.0;CR03;
90.0;CR03;
91.0;CR03;
92.0;CR03;
93.0;CR03;
94.0;CR03;
95.0;CR03;
96.0;CR03;
97.0;CR03;
98.0;CR03;
99.0;CR03;
100.0;CR03;
101.0;CR03;
102.0;CR03;
4.0;CR06;4.831665049804848
5.0;CR06;5.337395575388539
6.0;CR06;5.829355432946812
7.0;CR06;6.30778428630398
8.0;CR06;6.772317339448057
9.0;CR06;7.223514190246048
10.0;CR06;7.661416430928422
11.0;CR06;8.086171822401123
12.0;CR06;8.498437042596127
13.0;CR06;8.898217565754681
14.0;CR06;9.286362689585385
15.0;CR06;9.663296515859544
16.0;CR06;10.029511281942437
17.0;CR06;10.386355179921836
18.0;CR06;10.734314315478754
19.0;CR06;11.07453672151345
20.0;CR06;11.408303669998434
21.0;CR06;11.734707323389172
22.0;CR06;12.055797514865557
23.0;CR06;12.372437548413084
24.0;CR06;12.684719586277977
25.0;CR06;12.99297975954506
26.0;CR06;13.29746684511945
27.0;CR06;13.598233496166102
28.0;CR06;13.895580054587242
29.0;CR06;14.189874638105607
30.0;CR06;14.480852239679866
31.0;CR06;14.770957571772788
32.0;CR06;15.06399426773848
33.0;CR06;15.360353492152502
34.0;CR06;15.660422963386004
35.0;CR06;15.96404450020038
36.0;CR06;16.27152484057151
37.0;CR06;16.582470909582863
38.0;CR06;
39.0;CR06;
40.0;CR06;
41.0;CR06;
42.0;CR06;
43.0;CR06;
44.0;CR06;
45.0;CR06;
46.0;CR06;
47.0;CR06;
48.0;CR06;
49.0;CR06;
50.0;CR06;
51.0;CR06;
52.0;CR06;
53.0;CR06;
54.0;CR06;
55.0;CR06;
56.0;CR06;
57.0;CR06;
58.0;CR06;
59.0;CR06;
60.0;CR06;
61.0;CR06;
62.0;CR06;
63.0;CR06;
64.0;CR06;
65.0;CR06;
66.0;CR06;
67.0;CR06;
68.0;CR06;
69.0;CR06;
70.0;CR06;
71.0;CR06;
72.0;CR06;
73.0;CR06;
74.0;CR06;
75.0;CR06;
76.0;CR06;
77.0;CR06;
78.0;CR06;
79.0;CR06;
80.0;CR06;
81.0;CR06;
82.0;CR06;
83.0;CR06;
84.0;CR06;
85.0;CR06;
86.0;CR06;
87.0;CR06;
88.0;CR06;
89.0;CR06;
90.0;CR06;
91.0;CR06;
92.0;CR06;
93.0;CR06;
94.0;CR06;
95.0;CR06;
96.0;CR06;
97.0;CR06;
98.0;CR06;
99.0;CR06;
100.0;CR06;
101.0;CR06;
102.0;CR06;
4.0;CR10;4.264146640101201
5.0;CR10;4.674654807742527
6.0;CR10;5.07138149102668
7.0;CR10;5.455510728616416
8.0;CR10;5.82712017642268
9.0;CR10;6.18641309152448
10.0;CR10;6.5334836037354505
11.0;CR10;6.868463204297104
12.0;CR10;7.191749886986001
13.0;CR10;7.503614999214845
14.0;CR10;7.804550176125307
15.0;CR10;8.095086334471539
16.0;CR10;8.375830485617506
17.0;CR10;8.647102180940959
18.0;CR10;8.91049376642956
19.0;CR10;9.165970923858392
20.0;CR10;9.4151721528699
21.0;CR10;9.6588663370041
22.0;CR10;9.898342307087306
23.0;CR10;10.134407916123257
24.0;CR10;10.36787941467421
25.0;CR10;10.598507951981276
26.0;CR10;10.826595189574954
27.0;CR10;11.052118883540338
28.0;CR10;11.275562434946435
29.0;CR10;11.496851400606282
30.0;CR10;11.716109230453192
31.0;CR10;11.933770298835116
32.0;CR10;12.15034734212822
33.0;CR10;12.3698835342574
34.0;CR10;12.593985146457412
35.0;CR10;12.82266490933172
36.0;CR10;13.056290705443104
37.0;CR10;13.2945095780582
38.0;CR10;13.53802455883952
39.0;CR10;13.785869418310517
40.0;CR10;
41.0;CR10;
42.0;CR10;
43.0;CR10;
44.0;CR10;
45.0;CR10;
46.0;CR10;
47.0;CR10;
48.0;CR10;
49.0;CR10;
50.0;CR10;
51.0;CR10;
52.0;CR10;
53.0;CR10;
54.0;CR10;
55.0;CR10;
56.0;CR10;
57.0;CR10;
58.0;CR10;
59.0;CR10;
60.0;CR10;
61.0;CR10;
62.0;CR10;
63.0;CR10;
64.0;CR10;
65.0;CR10;
66.0;CR10;
67.0;CR10;
68.0;CR10;
69.0;CR10;
70.0;CR10;
71.0;CR10;
72.0;CR10;
73.0;CR10;
74.0;CR10;
75.0;CR10;
76.0;CR10;
77.0;CR10;
78.0;CR10;
79.0;CR10;
80.0;CR10;
81.0;CR10;
82.0;CR10;
83.0;CR10;
84.0;CR10;
85.0;CR10;
86.0;CR10;
87.0;CR10;
88.0;CR10;
89.0;CR10;
90.0;CR10;
91.0;CR10;
92.0;CR10;
93.0;CR10;
94.0;CR10;
95.0;CR10;
96.0;CR10;
97.0;CR10;
98.0;CR10;
99.0;CR10;
100.0;CR10;
101.0;CR10;
102.0;CR10;
4.0;CR20;4.215992885449225
5.0;CR20;4.523305347998651
6.0;CR20;4.822374460218015
7.0;CR20;5.114399670956857
8.0;CR20;5.399052724190941
9.0;CR20;5.676754056858246
10.0;CR20;5.947071712587022
11.0;CR20;6.210621896974931
12.0;CR20;6.466914754100267
13.0;CR20;6.71674629701698
14.0;CR20;6.959284053990967
15.0;CR20;7.195362517126288
16.0;CR20;7.425309899015964
17.0;CR20;7.649301789215812
18.0;CR20;7.86687926676082
19.0;CR20;8.07866958006026
20.0;CR20;8.285310820608954
21.0;CR20;8.487095986962693
22.0;CR20;8.684041671230649
23.0;CR20;8.876331348861363
24.0;CR20;9.064989002383296
25.0;CR20;9.250458905666603
26.0;CR20;9.433295034186012
27.0;CR20;9.613515100065204
28.0;CR20;9.792128430185254
29.0;CR20;9.969765813573398
30.0;CR20;10.146235742043745
31.0;CR20;10.321509073436772
32.0;CR20;10.495468297266424
33.0;CR20;10.66835469440494
34.0;CR20;10.840128261326058
35.0;CR20;11.010797573862504
36.0;CR20;11.180368672970864
37.0;CR20;11.34968236612763
38.0;CR20;11.521814610150308
39.0;CR20;11.698879308659318
40.0;CR20;11.880507974778226
41.0;CR20;12.066792022094816
42.0;CR20;12.257910724725804
43.0;CR20;12.453516914436053
44.0;CR20;12.654297432797728
45.0;CR20;12.859698458845688
46.0;CR20;
47.0;CR20;
48.0;CR20;
49.0;CR20;
50.0;CR20;
51.0;CR20;
52.0;CR20;
53.0;CR20;
54.0;CR20;
55.0;CR20;
56.0;CR20;
57.0;CR20;
58.0;CR20;
59.0;CR20;
60.0;CR20;
61.0;CR20;
62.0;CR20;
63.0;CR20;
64.0;CR20;
65.0;CR20;
66.0;CR20;
67.0;CR20;
68.0;CR20;
69.0;CR20;
70.0;CR20;
71.0;CR20;
72.0;CR20;
73.0;CR20;
74.0;CR20;
75.0;CR20;
76.0;CR20;
77.0;CR20;
78.0;CR20;
79.0;CR20;
80.0;CR20;
81.0;CR20;
82.0;CR20;
83.0;CR20;
84.0;CR20;
85.0;CR20;
86.0;CR20;
87.0;CR20;
88.0;CR20;
89.0;CR20;
90.0;CR20;
91.0;CR20;
92.0;CR20;
93.0;CR20;
94.0;CR20;
95.0;CR20;
96.0;CR20;
97.0;CR20;
98.0;CR20;
99.0;CR20;
100.0;CR20;
101.0;CR20;
102.0;CR20;
4.0;CR30;4.188043977857031
5.0;CR30;4.443809627977698
6.0;CR30;4.689030404296029
7.0;CR30;4.929685729522214
8.0;CR30;5.165887091646645
9.0;CR30;5.397539277448651
10.0;CR30;5.624644096832126
11.0;CR30;5.847227965827988
12.0;CR30;6.065309399831559
13.0;CR30;6.278952981977014
14.0;CR30;6.48821120492406
15.0;CR30;6.693076410397513
16.0;CR30;6.893700350554396
17.0;CR30;7.090033893859647
18.0;CR30;7.282141924290303
19.0;CR30;7.4701032459946575
20.0;CR30;7.6540268828647875
21.0;CR30;7.834081913284877
22.0;CR30;8.009872767012387
23.0;CR30;8.181661759864348
24.0;CR30;8.350003283982014
25.0;CR30;8.514819046180541
26.0;CR30;8.676516418237966
27.0;CR30;8.835206227029461
28.0;CR30;8.991099317692
29.0;CR30;9.14448479398608
30.0;CR30;9.295552547358335
31.0;CR30;9.444572821601804
32.0;CR30;9.591841311474736
33.0;CR30;9.737755879930608
34.0;CR30;9.882313478424413
35.0;CR30;10.026266693974918
36.0;CR30;10.169449747188738
37.0;CR30;10.311897816743524
38.0;CR30;10.453690649605122
39.0;CR30;10.594790084110066
40.0;CR30;10.73508340248882
41.0;CR30;10.875944289025686
42.0;CR30;11.021322723293434
43.0;CR30;11.171523874288466
44.0;CR30;11.326910246013394
45.0;CR30;11.487288110444684
46.0;CR30;11.652720362634645
47.0;CR30;11.82326839689135
48.0;CR30;11.998880060668638
49.0;CR30;12.179659696381568
50.0;CR30;
51.0;CR30;
52.0;CR30;
53.0;CR30;
54.0;CR30;
55.0;CR30;
56.0;CR30;
57.0;CR30;
58.0;CR30;
59.0;CR30;
60.0;CR30;
61.0;CR30;
62.0;CR30;
63.0;CR30;
64.0;CR30;
65.0;CR30;
66.0;CR30;
67.0;CR30;
68.0;CR30;
69.0;CR30;
70.0;CR30;
71.0;CR30;
72.0;CR30;
73.0;CR30;
74.0;CR30;
75.0;CR30;
76.0;CR30;
77.0;CR30;
78.0;CR30;
79.0;CR30;
80.0;CR30;
81.0;CR30;
82.0;CR30;
83.0;CR30;
84.0;CR30;
