radius;section;value
4.0;CR03;6.301635003125718
5.0;CR03;6.872670920452453
6.0;CR03;7.43144924186339
7.0;CR03;7.977382359037545
8.0;CR03;8.51068502277306
9.0;CR03;9.031777524467913
10.0;CR03;9.540825427629256
11.0;CR03;10.038487162049089
12.0;CR03;10.523312422977543
13.0;CR03;10.996234624180868
14.0;CR03;11.4576228110135
15.0;CR03;11.908154790666572
16.0;CR03;12.347210001457768
17.0;CR03;12.777233179020858
18.0;CR03;13.197459375376422
19.0;CR03;13.608473016347286
20.0;CR03;14.012265320563747
21.0;CR03;14.408097394051143
22.0;CR03;14.797635976114549
23.0;CR03;15.181452295835676
24.0;CR03;15.558269617777247
25.0;CR03;15.929446816177748
26.0;CR03;16.29465725108313
27.0;CR03;16.653728517424504
28.0;CR03;17.00682140755324
29.0;CR03;17.355393400966108
30.0;CR03;17.69835494864039
31.0;CR03;18.03874010158352
32.0;CR03;18.379513282686347
33.0;CR03;18.720904873615574
34.0;CR03;19.06333644040035
35.0;CR03;
36.0;CR03;
37.0;CR03;
38.0;CR03;
39.0;CR03;
40.0;CR03;
41.0;CR03;
42.0;CR03;
43.0;CR03;
44.0;CR03;
45.0;CR03;
46.0;CR03;
47.0;CR03;
48.0;CR03;
49.0;CR03;
50.0;CR03;
51.0;CR03;
52.0;CR03;
53.0;CR03;
54.0;CR03;
55.0;CR03;
56.0;CR03;
57.0;CR03;
58.0;CR03;
59.0;CR03;
60.0;CR03;
61.0;CR03;
62.0;CR03;
63.0;CR03;
64.0;CR03;
65.0;CR03;
66.0;CR03;
4.0;CR05;5.292034528063189
5.0;CR05;5.826140473520757
6.0;CR05;6.346988954963607
7.0;CR05;6.853380954655093
8.0;CR05;7.3463765568979
9.0;CR05;7.826824751934916
10.0;CR05;8.293395479936894
11.0;CR05;8.747063962916345
12.0;CR05;9.188517716928413
13.0;CR05;9.617899443638828
14.0;CR05;10.034619291475195
15.0;CR05;10.440711088722685
16.0;CR05;10.836563529375258
17.0;CR05;11.222871633034064
18.0;CR05;11.598091252446276
19.0;CR05;11.96669551329892
20.0;CR05;12.328027706168632
21.0;CR05;12.683008132842062
22.0;CR05;13.033114997916735
23.0;CR05;13.378354393172309
24.0;CR05;13.717129380905952
25.0;CR05;14.051182038279482
26.0;CR05;14.380681163877814
27.0;CR05;14.705531031109713
28.0;CR05;15.02649144951575
29.0;CR05;15.343821763337376
30.0;CR05;15.657180215944503
31.0;CR05;15.96935758208017
32.0;CR05;16.28357421805943
33.0;CR05;16.60062248946721
34.0;CR05;16.920416037122497
35.0;CR05;17.242960091314984
36.0;CR05;
37.0;CR05;
38.0;CR05;
39.0;CR05;
40.0;CR05;
41.0;CR05;
42.0;CR05;
43.0;CR05;
44.0;CR05;
45.0;CR05;
46.0;CR05;
47.0;CR05;
48.0;CR05;
49.0;CR05;
50.0;CR05;
51.0;CR05;
52.0;CR05;
53.0;CR05;
54.0;CR05;
55.0;CR05;
56.0;CR05;
57.0;CR05;
58.0;CR05;
59.0;CR05;
60.0;CR05;
61.0;CR05;
62.0;CR05;
63.0;CR05;
64.0;CR05;
65.0;CR05;
66.0;CR05;
4.0;CR06;4.834990004948894
5.0;CR06;5.340965431033792
6.0;CR06;5.8333703828849455
7.0;CR06;6.312533021375254
8.0;CR06;6.776672925291928
9.0;CR06;7.227995452125134
10.0;CR06;7.665851349317041
11.0;CR06;8.089985144820625
12.0;CR06;8.501397083517569
13.0;CR06;8.900892754366204
14.0;CR06;9.288527889426891
15.0;CR06;9.664405624652195
16.0;CR06;10.030341286005315
17.0;CR06;10.386235050621064
18.0;CR06;10.733024230374252
