radius;section;value
4.0;CR02;6.366684834632322
5.0;CR02;6.959546235226705
6.0;CR02;7.537565201527965
7.0;CR02;8.100289270468394
8.0;CR02;8.648925400398682
9.0;CR02;9.180875182996257
10.0;CR02;9.698826866419338
11.0;CR02;10.202617971841626
12.0;CR02;10.69139175984366
13.0;CR02;11.165839108042016
14.0;CR02;11.626472828232988
15.0;CR02;12.074822157735092
16.0;CR02;12.509783686355052
17.0;CR02;12.93272195785573
18.0;CR02;13.343282916003774
19.0;CR02;13.744167740432747
20.0;CR02;14.135259255720564
21.0;CR02;14.517286043848522
22.0;CR02;14.8906702344491
23.0;CR02;15.256705583355036
24.0;CR02;15.613934632688103
25.0;CR02;15.964964567539363
26.0;CR02;16.309476004332986
27.0;CR02;16.64657010521504
28.0;CR02;16.977712910994676
29.0;CR02;17.303640261156126
30.0;CR02;17.622734918706932
31.0;CR02;17.938674526246494
32.0;CR02;18.254423773865355
33.0;CR02;18.569545829013062
34.0;CR02;18.88504797887844
35.0;CR02;19.201135506653014
36.0;CR02;
37.0;CR02;
38.0;CR02;
39.0;CR02;
40.0;CR02;
41.0;CR02;
42.0;CR02;
43.0;CR02;
44.0;CR02;
45.0;CR02;
46.0;CR02;
47.0;CR02;
48.0;CR02;
49.0;CR02;
50.0;CR02;
51.0;CR02;
52.0;CR02;
53.0;CR02;
54.0;CR02;
55.0;CR02;
56.0;CR02;
57.0;CR02;
58.0;CR02;
59.0;CR02;
60.0;CR02;
61.0;CR02;
62.0;CR02;
63.0;CR02;
64.0;CR02;
65.0;CR02;
66.0;CR02;
67.0;CR02;
68.0;CR02;
69.0;CR02;
70.0;CR02;
71.0;CR02;
72.0;CR02;
73.0;CR02;
74.0;CR02;
75.0;CR02;
76.0;CR02;
4.0;CR03;5.892609973188975
5.0;CR03;6.459577251581816
6.0;CR03;7.011008433741968
7.0;CR03;7.546610791950559
8.0;CR03;8.067712967299492
9.0;CR03;8.573005066710085
10.0;CR03;9.06366910549991
11.0;CR03;9.539044408443273
12.0;CR03;10.000479157177216
13.0;CR03;10.448439329233686
14.0;CR03;10.882185904483462
15.0;CR03;11.299818775402333
16.0;CR03;11.705704129116851
17.0;CR03;12.099275561975144
18.0;CR03;12.481383105200331
19.0;CR03;12.85357785140824
20.0;CR03;13.216438483909254
21.0;CR03;13.572285243248436
22.0;CR03;13.91958808559971
23.0;CR03;14.261981638526844
24.0;CR03;14.59570230409044
25.0;CR03;14.924469249176946
26.0;CR03;15.246049557786964
27.0;CR03;15.563065376761458
28.0;CR03;15.8750087055437
29.0;CR03;16.180668255815792
30.0;CR03;16.482176235504674
31.0;CR03;16.781107406741512
32.0;CR03;17.0818799920699
33.0;CR03;17.383334809172496
34.0;CR03;17.68693935524101
35.0;CR03;17.990864185672468
36.0;CR03;
37.0;CR03;
38.0;CR03;
39.0;CR03;
40.0;CR03;
41.0;CR03;
42.0;CR03;
43.0;CR03;
44.0;CR03;
45.0;CR03;
46.0;CR03;
47.0;CR03;
48.0;CR03;
49.0;CR03;
50.0;CR03;
51.0;CR03;
52.0;CR03;
53.0;CR03;
54.0;CR03;
55.0;CR03;
56.0;CR03;
57.0;CR03;
58.0;CR03;
59.0;CR03;
60.0;CR03;
61.0;CR03;
62.0;CR03;
63.0;CR03;
64.0;CR03;
65.0;CR03;
66.0;CR03;
67.0;CR03;
68.0;CR03;
69.0;CR03;
70.0;CR03;
71.0;CR03;
72.0;CR03;
73.0;CR03;
74.0;CR03;
75.0;CR03;
76.0;CR03;
4.0;CR05;5.352530688754434
5.0;CR05;5.898316491516654
6.0;CR05;6.429382560035242
7.0;CR05;6.944062993418811
8.0;CR05;7.444544094684967
9.0;CR05;7.927681848157968
10.0;CR05;8.39683637833069
11.0;CR05;8.850088007349086
12.0;CR05;9.2901442030008
13.0;CR05;9.715272040733304
14.0;CR05;10.125952833403918
15.0;CR05;10.52402731228537
16.0;CR05;10.909534347447645
17.0;CR05;11.283166520485398
18.0;CR05;11.645440051106457
19.0;CR05;11.998257149487753
20.0;CR05;12.342014207708246
21.0;CR05;12.67550801378647
22.0;CR05;13.003592364140648
23.0;CR05;13.323296876097722
24.0;CR05;13.63814417397156
25.0;CR05;13.945239610052786
26.0;CR05;14.2478979501897
27.0;CR05;14.546282636131153
28.0;CR05;14.839746085170258
29.0;CR05;15.127579172834132
30.0;CR05;15.411854202813863
31.0;CR05;15.695011467622212
32.0;CR05;15.980404086667503
33.0;CR05;16.267710120552742
34.0;CR05;16.55707675983104
35.0;CR05;16.84921008723358
36.0;CR05;17.142370176951324
37.0;CR05;
38.0;CR05;
39.0;CR05;
40.0;CR05;
41.0;CR05;
42.0;CR05;
43.0;CR05;
44.0;CR05;
45.0;CR05;
46.0;CR05;
47.0;CR05;
48.0;CR05;
49.0;CR05;
50.0;CR05;
51.0;CR05;
52.0;CR05;
53.0;CR05;
54.0;CR05;
55.0;CR05;
56.0;CR05;
57.0;CR05;
58.0;CR05;
59.0;CR05;
60.0;CR05;
61.0;CR05;
62.0;CR05;
63.0;CR05;
64.0;CR05;
65.0;CR05;
66.0;CR05;
67.0;CR05;
68.0;CR05;
69.0;CR05;
70.0;CR05;
71.0;CR05;
72.0;CR05;
73.0;CR05;
74.0;CR05;
75.0;CR05;
76.0;CR05;
4.0;CR07;4.97359447601753
5.0;CR07;5.496480449908168
6.0;CR07;6.00373541008503
7.0;CR07;6.492951237302205
8.0;CR07;6.966493847428824
9.0;CR07;7.424695684698732
10.0;CR07;7.866983703195768
11.0;CR07;8.293046937059106
12.0;CR07;8.704838865446222
13.0;CR07;9.101276687224509
14.0;CR07;9.483880113381725
15.0;CR07;9.85358392332003
16.0;CR07;10.209761336334026
17.0;CR07;10.55551443481901
18.0;CR07;10.889682235327689
19.0;CR07;11.215043020324476
20.0;CR07;11.532473183264743
21.0;CR07;11.84398089574334
22.0;CR07;12.149881757349842
23.0;CR07;12.450479692127114
24.0;CR07;12.744908400709338
25.0;CR07;13.031931576054276
26.0;CR07;13.313637877542972
27.0;CR07;13.590819654290335
28.0;CR07;13.862750517946434
29.0;CR07;14.132135570659566
30.0;CR07;14.397654179641002
31.0;CR07;14.66082541868617
32.0;CR07;14.925838637779211
33.0;CR07;15.19458565802432
34.0;CR07;15.465343472206529
35.0;CR07;15.73994466991164
36.0;CR07;16.018330517419056
37.0;CR07;16.299008935388834
38.0;CR07;
39.0;CR07;
40.0;CR07;
41.0;CR07;
42.0;CR07;
43.0;CR07;
44.0;CR07;
45.0;CR07;
46.0;CR07;
47.0;CR07;
48.0;CR07;
49.0;CR07;
50.0;CR07;
51.0;CR07;
52.0;CR07;
53.0;CR07;
54.0;CR07;
55.0;CR07;
56.0;CR07;
57.0;CR07;
58.0;CR07;
59.0;CR07;
60.0;CR07;
61.0;CR07;
62.0;CR07;
63.0;CR07;
64.0;CR07;
65.0;CR07;
66.0;CR07;
67.0;CR07;
68.0;CR07;
69.0;CR07;
70.0;CR07;
71.0;CR07;
72.0;CR07;
73.0;CR07;
74.0;CR07;
75.0;CR07;
76.0;CR07;
4.0;CR08;4.646953269193283
5.0;CR08;5.147286937083525
6.0;CR08;5.629693943283383
7.0;CR08;6.097205004063476
8.0;CR08;6.54813707514474
9.0;CR08;6.982302780208263
10.0;CR08;7.401040330655231
11.0;CR08;7.80387419134137
12.0;CR08;8.193540016307782
13.0;CR08;8.565157635937798
14.0;CR08;8.924353917852134
15.0;CR08;9.27010589409225
16.0;CR08;9.60357318787474
17.0;CR08;9.925737750709049
18.0;CR08;10.235897682279544
19.0;CR08;10.538781344096886
20.0;CR08;10.833768565316795
21.0;CR08;11.12122611618098
22.0;CR08;11.404965006675576
23.0;CR08;11.68430586839785
24.0;CR08;11.957935569753433
25.0;CR08;12.22807877789853
26.0;CR08;12.492553159384885
27.0;CR08;12.753733286087735
28.0;CR08;13.01158327761185
29.0;CR08;13.26499357324632
30.0;CR08;13.511844922158025
31.0;CR08;13.75586057721629
32.0;CR08;14.00078845606822
33.0;CR08;14.249667202718191
34.0;CR08;14.50164682327301
35.0;CR08;14.75649818115624
36.0;CR08;15.0148112328966
37.0;CR08;15.277017661220018
38.0;CR08;15.543893391237496
39.0;CR08;
40.0;CR08;
41.0;CR08;
42.0;CR08;
43.0;CR08;
44.0;CR08;
45.0;CR08;
46.0;CR08;
47.0;CR08;
48.0;CR08;
49.0;CR08;
50.0;CR08;
51.0;CR08;
52.0;CR08;
53.0;CR08;
54.0;CR08;
55.0;CR08;
56.0;CR08;
57.0;CR08;
58.0;CR08;
59.0;CR08;
60.0;CR08;
61.0;CR08;
62.0;CR08;
63.0;CR08;
64.0;CR08;
65.0;CR08;
66.0;CR08;
67.0;CR08;
68.0;CR08;
69.0;CR08;
70.0;CR08;
71.0;CR08;
72.0;CR08;
73.0;CR08;
74.0;CR08;
75.0;CR08;
76.0;CR08;
4.0;CR10;4.404440160916247
5.0;CR10;4.879413712767671
6.0;CR10;5.337963831732833
7.0;CR10;5.779999075943376
8.0;CR10;6.207730416838054
9.0;CR10;6.620335047506535
10.0;CR10;7.017391388286286
11.0;CR10;7.399968812046987
12.0;CR10;7.767318507637481
13.0;CR10;8.12088552902124
14.0;CR10;8.46135258677071
15.0;CR10;8.78740452070921
16.0;CR10;9.103010564831438
17.0;CR10;9.407021770597767
18.0;CR10;9.699516601012895
19.0;CR10;9.983666020838514
20.0;CR10;10.259871270279753
21.0;CR10;10.52981370264142
22.0;CR10;10.793884631197468
23.0;CR10;11.054041827652672
24.0;CR10;11.310058669398476
25.0;CR10;11.561921503571298
26.0;CR10;11.808895560611784
27.0;CR10;12.053180433256962
28.0;CR10;12.293000112885586
29.0;CR10;12.53059869356057
30.0;CR10;12.763741618776905
31.0;CR10;12.993947183296406
32.0;CR10;13.22283970882547
33.0;CR10;13.453524312411666
34.0;CR10;13.68840163844737
35.0;CR10;13.925202210499348
36.0;CR10;14.164034395808752
37.0;CR10;14.407463471098776
38.0;CR10;14.654115471842468
39.0;CR10;14.90593899325593
40.0;CR10;
41.0;CR10;
42.0;CR10;
43.0;CR10;
44.0;CR10;
45.0;CR10;
46.0;CR10;
47.0;CR10;
48.0;CR10;
49.0;CR10;
50.0;CR10;
51.0;CR10;
52.0;CR10;
53.0;CR10;
54.0;CR10;
55.0;CR10;
56.0;CR10;
57.0;CR10;
58.0;CR10;
59.0;CR10;
60.0;CR10;
61.0;CR10;
62.0;CR10;
63.0;CR10;
64.0;CR10;
