radius,CR03,CR06,CR10,CR20,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR79,CR84,CR88,CR90,CR93
R4,-0.044833,-0.041637,-0.014381,0.120424,0.050035,0.021861,0.023572,0.020508,0.021482,0.032684,0.062962,-0.010692,0.051315,0.088695,0.198383,0.143791,0.071542,0.214037,0.231080,-0.041805
R5,-0.037717,-0.023521,-0.017429,0.088432,0.055258,0.027438,0.022800,0.024559,0.030160,0.050559,0.081137,-0.034429,0.031185,0.082540,0.186974,0.126271,0.071636,0.201145,0.218448,-0.041636
R6,-0.032666,-0.014643,-0.019069,0.066756,0.056731,0.031779,0.022291,0.031678,0.039022,0.067441,0.103065,-0.074360,-0.011632,0.049209,0.140946,0.097989,0.079275,0.194161,0.216633,-0.038698
R7,-0.032555,-0.005566,-0.018414,0.054634,0.052482,0.028722,0.023142,0.029943,0.038549,0.072444,0.113892,-0.107044,-0.037967,0.007773,0.102128,0.068560,0.086109,0.185549,0.205947,-0.036058
R8,-0.037834,-0.002942,-0.021342,0.046124,0.042802,0.022173,0.019887,0.025418,0.034996,0.071632,0.120334,-0.129371,-0.067615,-0.025842,0.066865,0.046068,0.088009,0.174116,0.189966,-0.041477
R9,-0.048111,-0.004820,-0.023763,0.035486,0.030506,0.015843,0.013589,0.021909,0.031419,0.071111,0.122450,-0.139509,-0.091139,-0.056407,0.038190,0.032593,0.087989,0.167417,0.183951,-0.042416
R10,-0.055863,-0.007440,-0.026351,0.022086,0.016508,0.007091,0.008150,0.016466,0.028912,0.065797,0.127346,-0.144063,-0.110482,-0.079347,0.022851,0.025012,0.087976,0.164638,0.179268,-0.038687
R11,-0.063065,-0.010625,-0.030199,0.010561,0.005504,-0.002225,0.001577,0.010171,0.025098,0.057701,0.128582,-0.146748,-0.124527,-0.091125,0.011802,0.030041,0.084388,0.161930,0.173187,-0.036105
R12,-0.072989,-0.017206,-0.034373,0.003126,-0.000998,-0.012117,-0.005105,0.005718,0.019558,0.056272,0.129310,-0.154986,-0.130784,-0.097037,0.002932,0.020389,0.084534,0.159048,0.168389,-0.034101
R13,-0.082689,-0.026009,-0.038700,-0.002261,-0.005757,-0.017819,-0.012313,0.004256,0.017179,0.062702,0.129198,-0.155175,-0.134265,-0.102251,-0.002433,0.021234,0.081959,0.154137,0.165767,-0.031479
R14,-0.091756,-0.036544,-0.042914,-0.008140,-0.011293,-0.022473,-0.015888,0.005170,0.018619,0.061958,0.128115,-0.149022,-0.134082,-0.101847,-0.006354,0.023257,0.076315,0.147731,0.162739,-0.031937
R15,-0.100526,-0.047631,-0.047803,-0.015850,-0.016316,-0.027946,-0.019563,0.001905,0.018339,0.055513,0.127778,-0.152904,-0.139916,-0.103050,-0.010753,0.021454,0.077095,0.142215,0.159370,-0.031512
R16,-0.110392,-0.057990,-0.052186,-0.021515,-0.019733,-0.029077,-0.026056,-0.002312,0.017428,0.056957,0.125760,-0.154096,-0.142547,-0.108467,-0.015226,0.018287,0.075376,0.136547,0.152442,-0.031693
R17,-0.119193,-0.067676,-0.058205,-0.027117,-0.025471,-0.033234,-0.030893,-0.005679,0.013254,0.058374,0.123234,-0.155594,-0.143737,-0.109820,-0.018326,0.021485,0.071612,0.131373,0.148914,-0.028201
R18,-0.126956,-0.075833,-0.064765,-0.033367,-0.031732,-0.041369,-0.035196,-0.009469,0.009746,0.056697,0.122369,-0.155418,-0.145909,-0.107981,-0.020855,0.024762,0.071664,0.126272,0.147159,-0.025600
R19,-0.137246,-0.081564,-0.070637,-0.038016,-0.036127,-0.047481,-0.043841,-0.013193,0.006079,0.048697,0.121448,-0.154596,-0.147260,-0.108093,-0.022224,0.020361,0.069923,0.120598,0.145287,-0.021923
R20,-0.145944,-0.087505,-0.075935,-0.043653,-0.041350,-0.049311,-0.051943,-0.016767,0.000445,0.040555,0.121373,-0.154173,-0.148882,-0.112197,-0.022244,0.016792,0.069240,0.121302,0.142891,-0.019179
R21,-0.155532,-0.096196,-0.080182,-0.048086,-0.048048,-0.054311,-0.055269,-0.019355,-0.006582,0.036994,0.121062,-0.152149,-0.150027,-0.118173,-0.023375,0.013235,0.067705,0.120479,0.139148,-0.013140
R22,-0.165013,-0.105054,-0.084830,-0.052932,-0.051330,-0.061203,-0.058255,-0.020830,-0.012226,0.034931,0.118102,-0.149434,-0.152491,-0.118362,-0.027170,0.010445,0.063975,0.113811,0.137516,-0.008774
R23,-0.175029,-0.116745,-0.091771,-0.058132,-0.052386,-0.065294,-0.061710,-0.023571,-0.016989,0.031549,0.115524,-0.148812,-0.153874,-0.120711,-0.023322,0.009101,0.059822,0.108614,0.133585,-0.004947
R24,-0.186496,-0.125433,-0.098125,-0.062479,-0.054802,-0.067185,-0.064938,-0.027648,-0.021100,0.025415,0.114081,-0.145354,-0.155167,-0.124190,-0.022284,0.006909,0.057480,0.104981,0.128037,-0.001182
R25,-0.196616,-0.128806,-0.103528,-0.064264,-0.057776,-0.069379,-0.063714,-0.031557,-0.027175,0.020619,0.111081,-0.141616,-0.155237,-0.125949,-0.025536,0.005260,0.055401,0.100514,0.122886,0.000828
R26,-0.204435,-0.134047,-0.107566,-0.065681,-0.059421,-0.072151,-0.065454,-0.036062,-0.033005,0.018061,0.107184,-0.139453,-0.153688,-0.127761,-0.029613,0.004678,0.052979,0.094935,0.120545,0.000503
R27,-0.209256,-0.138349,-0.110429,-0.069852,-0.063702,-0.074009,-0.070266,-0.041257,-0.035384,0.014629,0.103368,-0.138154,-0.151716,-0.129973,-0.030522,0.005253,0.050958,0.089937,0.118716,0.002705
R28,-0.213828,-0.142177,-0.112707,-0.077946,-0.069849,-0.074830,-0.072929,-0.046456,-0.039919,0.009902,0.102757,-0.136138,-0.151298,-0.127066,-0.034061,0.005874,0.048627,0.086060,0.115241,0.007624
R29,-0.216769,-0.147503,-0.114087,-0.085137,-0.073458,-0.076135,-0.075283,-0.049739,-0.045982,0.003610,0.102947,-0.132207,-0.153357,-0.123259,-0.036688,0.006259,0.046416,0.083869,0.110860,0.011008
