radius,CR03,CR06,CR10,CR20,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR79,CR84,CR88,CR90,CR93
R4,0.132386,0.264625,0.350080,0.171137,0.125401,0.084834,0.102922,0.074031,0.090734,0.126456,0.096610,0.128904,0.126901,0.117423,0.194923,0.233299,0.350104,0.390345,0.364993,0.367209
R5,0.130566,0.176410,0.233992,0.140364,0.133665,0.095418,0.105122,0.087813,0.101270,0.114829,0.073683,0.112960,0.138099,0.118021,0.189017,0.191734,0.278365,0.298531,0.281802,0.296610
R6,0.105754,0.115305,0.153662,0.114011,0.138381,0.115936,0.110757,0.103394,0.111812,0.103365,0.055809,0.088155,0.110643,0.079330,0.153152,0.149938,0.204117,0.223186,0.215747,0.235460
R7,0.086765,0.079972,0.113082,0.096438,0.139030,0.123223,0.102319,0.100894,0.109636,0.091983,0.030600,0.050738,0.060888,0.051648,0.111629,0.109805,0.141252,0.168655,0.163964,0.181927
R8,0.084278,0.055500,0.092508,0.093156,0.137911,0.113651,0.100977,0.097960,0.109962,0.093727,0.027219,0.007400,0.015972,0.021398,0.079451,0.069613,0.107858,0.139174,0.139803,0.157798
R9,0.090329,0.040715,0.076457,0.094628,0.134899,0.110026,0.101599,0.092123,0.106599,0.090179,0.031588,-0.008200,-0.015429,-0.002225,0.050619,0.048848,0.100843,0.129676,0.129104,0.150472
R10,0.095502,0.030913,0.061645,0.089239,0.128814,0.111232,0.095608,0.088063,0.105077,0.085978,0.041372,-0.009312,-0.026235,-0.018592,0.031958,0.041671,0.096742,0.126700,0.131903,0.149151
R11,0.092213,0.018444,0.051333,0.083845,0.124641,0.106144,0.091834,0.088656,0.105912,0.085337,0.042328,-0.003603,-0.028289,-0.021008,0.018822,0.029519,0.087730,0.119992,0.147689,0.145796
R12,0.093718,0.005950,0.043858,0.087168,0.121945,0.104191,0.086151,0.094487,0.098791,0.093906,0.046216,0.014850,-0.024034,-0.017596,0.016737,0.050994,0.086220,0.112483,0.150025,0.139433
R13,0.097603,-0.000811,0.044067,0.091210,0.119471,0.109785,0.090274,0.099534,0.094746,0.094284,0.049357,0.012642,-0.016894,-0.015470,0.024365,0.047912,0.077875,0.109115,0.131050,0.138395
R14,0.108692,-0.001070,0.051440,0.093743,0.122163,0.110459,0.097591,0.096626,0.098823,0.109469,0.053752,0.007726,-0.012025,-0.010691,0.029783,0.043942,0.069853,0.105939,0.116976,0.143980
R15,0.119686,0.003793,0.059190,0.100541,0.128891,0.112283,0.104004,0.090451,0.105168,0.112556,0.060037,0.022245,-0.003339,-0.007694,0.034253,0.040359,0.065374,0.101304,0.115353,0.150985
R16,0.126413,0.006529,0.062962,0.104730,0.133278,0.118897,0.108814,0.094866,0.104087,0.105871,0.062814,0.027842,-0.003636,-0.008606,0.040588,0.038079,0.061792,0.096881,0.116875,0.162404
R17,0.126133,0.007336,0.069131,0.105693,0.131967,0.115237,0.110513,0.102381,0.101733,0.104532,0.059766,0.031875,-0.000267,-0.000728,0.046301,0.023904,0.069044,0.095376,0.121579,0.163131
R18,0.122468,0.008778,0.075911,0.106678,0.131542,0.109293,0.111732,0.103205,0.109700,0.106810,0.060147,0.033584,0.007894,0.015885,0.053038,0.022839,0.078557,0.096766,0.125984,0.163362
R19,0.125021,0.015304,0.078972,0.105548,0.135578,0.114072,0.115048,0.100653,0.121139,0.108545,0.061675,0.034454,0.015244,0.025674,0.060764,0.031181,0.080423,0.097949,0.126180,0.160481
R20,0.127396,0.019434,0.083482,0.105471,0.135168,0.122867,0.113411,0.106656,0.127293,0.110743,0.061195,0.039180,0.020158,0.027636,0.067122,0.034782,0.082366,0.104906,0.132269,0.162354
R21,0.122978,0.020803,0.090572,0.108237,0.132982,0.125301,0.117851,0.115065,0.132950,0.115383,0.064401,0.049196,0.021460,0.026514,0.075268,0.038444,0.088924,0.112997,0.140761,0.168123
R22,0.115145,0.019739,0.091398,0.110611,0.137514,0.121738,0.123338,0.120353,0.139422,0.121261,0.068093,0.057363,0.027143,0.028768,0.088823,0.048177,0.096961,0.109128,0.142379,0.165653
R23,0.105705,0.016252,0.090842,0.109556,0.144172,0.124097,0.120769,0.120177,0.145014,0.123491,0.074262,0.064730,0.032741,0.033668,0.109580,0.058073,0.101688,0.111340,0.141909,0.165912
R24,0.098066,0.014336,0.089427,0.106315,0.145176,0.128829,0.119855,0.120240,0.144287,0.118870,0.080983,0.072294,0.039178,0.045413,0.116432,0.065298,0.102115,0.115857,0.141796,0.163166
R25,0.093703,0.007585,0.084238,0.104983,0.144135,0.126773,0.120204,0.121941,0.136673,0.115214,0.079923,0.079390,0.049529,0.055449,0.122966,0.073929,0.105552,0.117543,0.143262,0.159816
R26,0.086356,0.005001,0.078778,0.108196,0.147051,0.126921,0.118561,0.120958,0.132817,0.117202,0.080014,0.085366,0.056748,0.059882,0.117655,0.075952,0.105949,0.119516,0.145382,0.156921
R27,0.085110,0.002851,0.078405,0.114340,0.147443,0.136149,0.121689,0.120217,0.134355,0.117718,0.075010,0.089424,0.058777,0.065336,0.115976,0.076358,0.107328,0.120684,0.148711,0.155698
R28,0.091927,0.005393,0.075852,0.119402,0.148793,0.141565,0.127091,0.122635,0.134833,0.118696,0.073018,0.093683,0.059411,0.071484,0.107697,0.079602,0.109971,0.122453,0.151460,0.156765
R29,0.099804,0.007874,0.070119,0.124063,0.152814,0.143692,0.134249,0.129910,0.133630,0.116721,0.074254,0.094252,0.059813,0.078902,0.108604,0.086043,0.114694,0.128134,0.153773,0.155497
R30,0.114327,0.009909,0.064208,0.131726,0.156065,0.144888,0.137658,0.134979,0.134305,0.118282,0.076368,0.095065,0.059422,0.086491,0.113240,0.092761,0.117849,0.134397,0.156140,0.153244
R31,0.124214,0.015814,0.058867,0.135461,0.155866,0.147622,0.132561,0.137881,0.137591,0.127298,0.081481,0.097022,0.063579,0.099235,0.118184,0.097785,0.122306,0.139471,0.162795,0.153340
R32,0.137085,0.018043,0.060918,0.132998,0.154988,0.146335,0.132510,0.138122,0.139166,0.136536,0.082852,0.099946,0.072356,0.101886,0.125694,0.101905,0.127801,0.143256,0.172441,0.153512
R33,0.155681,0.012594,0.061991,0.131146,0.154906,0.142425,0.136767,0.137762,0.137417,0.140571,0.085012,0.106903,0.076957,0.100487,0.133978,0.112768,0.132883,0.142671,0.172337,0.149066
R34,0.168426,0.006460,0.053593,0.127982,0.151365,0.142826,0.135901,0.136736,0.131206,0.140239,0.091183,0.115673,0.082318,0.117799,0.141344,0.115598,0.136765,0.141537,0.166379,0.141935
R35,,0.000255,0.040864,0.123081,0.142300,0.143282,0.133453,0.133209,0.128287,0.139843,0.094238,0.120409,0.090032,0.129718,0.151005,0.117925,0.138482,0.142069,0.164017,0.141081
R36,,-0.003334,0.032048,0.124200,0.137727,0.144384,0.133889,0.137102,0.132685,0.143479,0.091291,0.125804,0.091107,0.134919,0.157776,0.125265,0.142268,0.144836,0.168839,0.142173
R37,,,0.027464,0.127178,0.140195,0.145346,0.140716,0.144650,0.138000,0.146332,0.086615,0.130770,0.095618,0.141404,0.170342,0.128100,0.147709,0.148361,0.175880,0.144087
R38,,,0.024163,0.130266,0.142800,0.149880,0.148047,0.153727,0.141366,0.145104,0.081165,0.131494,0.102312,0.150036,0.174422,0.132519,0.149634,0.151233,0.179559,0.149402
R39,,,0.021941,0.131444,0.145370,0.157388,0.150655,0.164884,0.145304,0.147873,0.077683,0.132798,0.107165,0.160201,0.180651,0.134461,0.152876,0.155731,0.183952,0.155819
R40,,,,0.134153,0.155437,0.164748,0.155024,0.172743,0.154141,0.151141,0.081313,0.136273,0.110901,0.166131,0.183171,0.145853,0.158626,0.166440,0.191978,0.163594
R41,,,,0.147739,0.171110,0.174735,0.168507,0.180770,0.166535,0.161418,0.084912,0.133662,0.111816,0.165805,0.179416,0.155813,0.164427,0.183300,0.204492,0.175983
R42,,,,0.159467,0.182019,0.193772,0.180238,0.189407,0.179285,0.179631,0.090004,0.130763,0.111961,0.165509,,0.163632,0.174520,0.198260,0.215205,0.185498
R43,,,,0.163008,0.185659,0.206471,0.184646,0.199129,0.185886,0.191798,0.094296,0.128496,0.120919,0.168615,,,0.187816,0.207528,0.217366,0.186732
R44,,,,0.163135,0.185636,0.207072,0.183152,0.200818,0.181486,0.190598,0.098642,0.127971,0.127242,0.177088,,,0.196311,0.211538,0.215255,0.180186
R45,,,,,0.180920,0.201524,0.185994,0.194603,0.178285,0.181760,0.110237,0.137243,0.136152,0.178295,,,0.201051,0.212637,0.211110,0.171171
R46,,,,,0.169943,0.187457,0.183811,0.184612,0.173921,0.172331,0.120277,0.149721,0.140898,0.183509,,,0.202416,0.213129,0.204413,
R47,,,,,0.157062,0.178663,0.176045,0.181797,0.171781,0.165413,0.123821,0.158918,0.148736,0.185565,,,0.202779,0.213263,0.202952,
R48,,,,,0.149809,0.172652,0.172365,0.179149,0.166946,0.161185,0.125216,0.168873,0.156939,,,,0.204907,0.213067,0.205258,
R49,,,,,,0.164378,0.167884,0.175808,0.167080,0.158868,0.120820,0.177970,0.159025,,,,0.208323,0.212636,0.204347,
R50,,,,,,0.159101,0.165707,0.175710,0.170542,0.160128,0.116236,0.181448,0.166749,,,,0.211500,0.215790,0.204914,
R51,,,,,,,0.164075,0.176679,0.173859,0.160580,0.119516,0.186356,0.171510,,,,0.216960,0.223267,0.207783,
R52,,,,,,,0.166002,0.179657,0.175543,0.161273,0.122611,0.188486,0.179809,,,,0.225468,0.229628,0.212962,
R53,,,,,,,0.172482,0.181495,0.176501,0.161087,0.120930,0.187456,0.189320,,,,0.231213,0.235451,0.216518,
R54,,,,,,,,0.185103,0.184628,0.157338,0.122784,0.181971,0.193297,,,,0.237229,0.240144,0.218975,
R55,,,,,,,,0.185040,0.188136,0.155131,0.127712,0.182137,0.199989,,,,0.246119,0.242656,0.222584,
R56,,,,,,,,0.185345,0.188597,0.156171,0.131116,0.184149,,,,,,0.243358,0.225407,
R57,,,,,,,,0.188633,0.195505,0.158666,0.136601,0.179880,,,,,,0.242413,,
R58,,,,,,,,0.190800,0.203527,0.160015,0.137484,0.176696,,,,,,0.247541,,
R59,,,,,,,,,0.207546,0.161189,0.138545,0.173695,,,,,,0.254873,,
R60,,,,,,,,,0.211063,0.159873,0.138659,0.176941,,,,,,0.265544,,
R61,,,,,,,,,0.212138,0.158932,0.138110,0.176373,,,,,,,,
R62,,,,,,,,,0.216303,0.161489,0.136674,,,,,,,,,
R63,,,,,,,,,,0.162475,0.138023,,,,,,,,,
R64,,,,,,,,,,0.165180,0.139973,,,,,,,,,
R65,,,,,,,,,,,0.144689,,,,,,,,,
